id;area_code;area_name;area_description;area_type;area_coordinates;is_active;created_at;updated_at;deleted_at
337;D-ANCOL;ANCOL;NULL;CENTRAL;NULL;1;;;NULL
339;D-BANDUNG;BANDUNG;NULL;CENTRAL;NULL;1;;;NULL
340;D-BANJAR;BANJAR;NULL;CENTRAL;NULL;1;;;NULL
341;D-BATANG;BATANG;NULL;CENTRAL;NULL;1;;;NULL
342;D-BEKASI;BEKASI;NULL;CENTRAL;NULL;1;;;NULL
343;D-BLORA;BLORA;NULL;CENTRAL;NULL;1;;;NULL
338;D-BLRJ;BALARAJA;NULL;CENTRAL;NULL;1;;;NULL
344;D-BOGOR;BOGOR;NULL;CENTRAL;NULL;1;;;NULL
345;D-BREBES;BREBES;NULL;CENTRAL;NULL;1;;;NULL
346;D-CAKUNG;CAKUNG;NULL;CENTRAL;NULL;1;;;NULL
347;D-CIANJUR;CIANJUR;NULL;CENTRAL;NULL;1;;;NULL
348;D-CIBINONG;CIBINONG;NULL;CENTRAL;NULL;1;;;NULL
349;D-CIBITUNG;CIBITUNG;NULL;CENTRAL;NULL;1;;;NULL
353;D-CILEGON;CILEGON;NULL;CENTRAL;NULL;1;;;NULL
355;D-CIMANGGS;CIMANGGIS;NULL;CENTRAL;NULL;1;;;NULL
356;D-CIRACAS;CIRACAS;NULL;CENTRAL;NULL;1;;;NULL
357;D-CIREBON;CIREBON;NULL;CENTRAL;NULL;1;;;NULL
350;D-CKMPK;CIKAMPEK;NULL;CENTRAL;NULL;1;;;NULL
13;D-CKP;CIKUPA;Area Cikupa untuk Departemen DIESEL;BRANCH;NULL;1;;;NULL
12;D-CKR;CIKARANG;Area Cikarang untuk Departemen DIESEL;BRANCH;NULL;1;;;NULL
354;D-CLNGSI;CILEUNGSI;NULL;CENTRAL;NULL;1;;;NULL
358;D-DNMGT;DAAN MOGOT;NULL;CENTRAL;NULL;1;;;NULL
359;D-EJIP;EJIP;NULL;CENTRAL;NULL;1;;;NULL
360;D-GEDEBAGE;GEDEBAGE;NULL;CENTRAL;NULL;1;;;NULL
361;D-GRESIK;GRESIK;NULL;CENTRAL;NULL;1;;;NULL
362;D-HYUNDAI;HYUNDAI;NULL;CENTRAL;NULL;1;;;NULL
363;D-JABABEKA;JABABEKA;NULL;CENTRAL;NULL;1;;;NULL
364;D-JAKARTA;JAKARTA;NULL;CENTRAL;NULL;1;;;NULL
365;D-JATENG;JATENG;NULL;CENTRAL;NULL;1;;;NULL
366;D-JATIM;JATIM;NULL;CENTRAL;NULL;1;;;NULL
367;D-JAWILAN;JAWILAN;NULL;CENTRAL;NULL;1;;;NULL
368;D-JEPARA;JEPARA;NULL;CENTRAL;NULL;1;;;NULL
369;D-KALASAN;KALASAN;NULL;CENTRAL;NULL;1;;;NULL
370;D-KARAWACI;KARAWACI;NULL;CENTRAL;NULL;1;;;NULL
372;D-KLATEN;KLATEN;NULL;CENTRAL;NULL;1;;;NULL
373;D-KOPO;KOPO;NULL;CENTRAL;NULL;1;;;NULL
7;D-KRW;KARAWANG;Area Karawang untuk Departemen DIESEL;BRANCH;NULL;1;;;NULL
10;D-LK;LUAR KOTA;Area Luar Kota untuk Departemen DIESEL;BRANCH;NULL;1;;;NULL
374;D-MAJALENG;MAJALENGKA;NULL;CENTRAL;NULL;1;;;NULL
375;D-MALANG;MALANG;NULL;CENTRAL;NULL;1;;;NULL
376;D-MM2100;MM2100;NULL;CENTRAL;NULL;1;;;NULL
377;D-NAROGONG;NAROGONG;NULL;CENTRAL;NULL;1;;;NULL
