id;customer_name;customer_code;marketing_name;is_active;created_at;updated_at
1;PT ABC Kogen Dairy;AKD62;DEIS;1;17/02/2026 18:08;17/02/2026 18:08
2;PT Adira Makmur Abadi;AMA97;DEIS;1;17/02/2026 18:08;17/02/2026 18:08
3;PT Admira Garuda Nusantara;AGN06;WINSTON;1;17/02/2026 18:08;17/02/2026 18:08
4;PT Amerta Indah Otsuka;AIO90;DEIS;1;17/02/2026 18:08;17/02/2026 18:08
5;PT Asahimas Flat Glass Tbk;AFGT83;TATA;1;17/02/2026 18:08;17/02/2026 18:08
6;PT Asian Isuzu Casting Center;AICC72;DEIS;1;17/02/2026 18:08;17/02/2026 18:08
7;PT Aspex Kumbong;AK84;NANDA;1;17/02/2026 18:08;17/02/2026 18:08
8;PT Astro Technologies Indonesia;ATI69;DEIS;1;17/02/2026 18:08;17/02/2026 18:08
9;PT Bakrie Autoparts;BA38;DEIS;1;17/02/2026 18:08;17/02/2026 18:08
10;PT Bekaert Indonesia;BI41;DEIS;1;17/02/2026 18:08;17/02/2026 18:08
11;PT Berjaya Nawaplastic Indonesia;BNI40;DEIS;1;17/02/2026 18:08;17/02/2026 18:08
12;PT Berlina Tbk;BT49;DEIS;1;17/02/2026 18:08;17/02/2026 18:08
13;PT Bitutek;B95;TATA;1;17/02/2026 18:08;17/02/2026 18:08
14;PT Bridon;B30;NANDA;1;17/02/2026 18:08;17/02/2026 18:08
15;PT Bukit Muria Jaya;BMJ38;DEIS;1;17/02/2026 18:08;17/02/2026 18:08
16;PT Cahayaputra Asa Keramik Tbk;CAKT06;NANDA;1;17/02/2026 18:08;17/02/2026 18:08
17;PT Catur Sentosa Anugrah;CSA83;DEIS;1;17/02/2026 18:08;17/02/2026 18:08
18;PT Cemindo Gemilang Tbk;CGT16;DEIS;1;17/02/2026 18:08;17/02/2026 18:08
19;PT Cipta Mapan Logistik;CML50;NANDA;1;17/02/2026 18:08;17/02/2026 18:08
20;PT Cipta Mortar Utama;CMU87;DEIS;1;17/02/2026 18:08;17/02/2026 18:08
21;PT Cipta Multi Buana Perkasa;CMBP27;DEIS;1;17/02/2026 18:08;17/02/2026 18:08
22;PT Cipta Niaga Semesta;CNS19;DEIS;1;17/02/2026 18:08;17/02/2026 18:08
23;PT Cipta Unggul Lintas Samudera;CULS52;DEIS;1;17/02/2026 18:08;17/02/2026 18:08
24;PT CJ Logistics Indonesia;CLI94;DEIS;1;17/02/2026 18:08;17/02/2026 18:08
25;PT CS2 Pola Sehat;CPS91;DEIS;1;17/02/2026 18:08;17/02/2026 18:08
26;PT Daho PNC Indonesia;DPI76;DEIS;1;17/02/2026 18:08;17/02/2026 18:08
27;PT Dayacipta Kemasindo;DK29;TATA;1;17/02/2026 18:08;17/02/2026 18:08
28;PT Dharma Control Cable Indonesia;DCCI03;DEIS;1;17/02/2026 18:08;17/02/2026 18:08
29;PT Dharma Polimetal Tbk;DPT89;NANDA;1;17/02/2026 18:08;17/02/2026 18:08
30;PT DHL Supply Chain Indonesia;DSCI04;DEIS;1;17/02/2026 18:08;17/02/2026 18:08
31;PT Duta Citra Lestari;DCL87;DEIS;1;17/02/2026 18:08;17/02/2026 18:08
32;PT Duta Sentosa Yasa;DSY24;DEIS;1;17/02/2026 18:08;17/02/2026 18:08
33;PT Energi Sejahtera Mas;ESM10;DEIS;1;17/02/2026 18:08;17/02/2026 18:08
34;PT Fajar Surya Wisesa Tbk;FSWT72;TATA;1;17/02/2026 18:08;17/02/2026 18:08
35;PT Frigoglass Indonesia;FI03;DEIS;1;17/02/2026 18:08;17/02/2026 18:08
36;PT Fukuyama Giken Indonesia;FGI15;DEIS;1;17/02/2026 18:08;17/02/2026 18:08
