id;customer_id;area_id;location_name;location_code;location_type;address;contact_person;phone;email;pic_position;notes;city;province;postal_code;gps_latitude;gps_longitude;is_primary;is_active;created_at;updated_at
1;1;;Plant Bandung;LOC-001;Plant;;;;;;;Bandung;Jawa Barat;;;;1;1;26/02/2026;
2;2;;Cabang Demak;LOC-002;Branch;;;;;;;Demak;Jawa Tengah;;;;1;1;26/02/2026;
3;2;;Cabang Semarang;LOC-003;Branch;;;;;;;Semarang;Jawa Tengah;;;;0;1;26/02/2026;
4;3;;Cabang Palembang;LOC-004;Branch;;;;;;;Palembang;Sumatera Selatan;;;;1;1;26/02/2026;
5;4;;Plant Cicurug;LOC-005;Plant;;;;;;;Sukabumi;Jawa Barat;;;;1;1;26/02/2026;
6;4;;Gudang Sentul;LOC-006;Warehouse;;;;;;;Bogor;Jawa Barat;;;;0;1;26/02/2026;
7;4;;Depo Pasar Rebo;LOC-007;Depot;;;;;;;Jakarta Timur;DKI Jakarta;;;;0;1;26/02/2026;
8;4;;Cabang Medan;LOC-008;Branch;;;;;;;Medan;Sumatera Utara;;;;0;1;26/02/2026;
9;4;;Cabang Yogyakarta;LOC-009;Branch;;;;;;;Yogyakarta;DI Yogyakarta;;;;0;1;26/02/2026;
10;4;;Depo Sawangan;LOC-010;Depot;;;;;;;Depok;Jawa Barat;;;;0;1;26/02/2026;
11;4;;Cabang Bandung;LOC-011;Branch;;;;;;;Bandung;Jawa Barat;;;;0;1;26/02/2026;
12;4;;Cabang Pulogadung;LOC-012;Branch;;;;;;;Jakarta Timur;DKI Jakarta;;;;0;1;26/02/2026;
13;4;;Cabang Tangerang;LOC-013;Branch;;;;;;;Tangerang;Banten;;;;0;1;26/02/2026;
14;4;;Cabang Cikarang;LOC-014;Branch;;;;;;;Bekasi;Jawa Barat;;;;0;1;26/02/2026;
15;5;;Plant Perawang;LOC-015;Plant;;;;;;;Siak;Riau;;;;1;1;26/02/2026;
16;6;;Plant Semarang;LOC-016;Plant;;;;;;;Semarang;Jawa Tengah;;;;1;1;26/02/2026;
17;6;;Cabang Surabaya;LOC-017;Branch;;;;;;;Surabaya;Jawa Timur;;;;0;1;26/02/2026;
18;7;;Gudang Surabaya;LOC-018;Warehouse;;;;;;;Surabaya;Jawa Timur;;;;1;1;26/02/2026;
19;8;;Gudang Cibitung;LOC-019;Warehouse;;;;;;;Bekasi;Jawa Barat;;;;1;1;26/02/2026;
20;9;;Plant Karawang;LOC-020;Plant;;;;;;;Karawang;Jawa Barat;;;;1;1;26/02/2026;
21;9;;Plant Cikampek;LOC-021;Plant;;;;;;;Karawang;Jawa Barat;;;;0;1;26/02/2026;
22;9;;Depo Ancol;LOC-022;Depot;;;;;;;Jakarta Utara;DKI Jakarta;;;;0;1;26/02/2026;
23;9;;Depo Sunter;LOC-023;Depot;;;;;;;Jakarta Utara;DKI Jakarta;;;;0;1;26/02/2026;
24;10;;Plant Karawang;LOC-024;Plant;;;;;;;Karawang;Jawa Barat;;;;1;1;26/02/2026;
25;10;;Cabang Marunda;LOC-025;Branch;;;;;;;Jakarta Utara;DKI Jakarta;;;;0;1;26/02/2026;
26;11;;Plant Marunda;LOC-026;Plant;;;;;;;Jakarta Utara;DKI Jakarta;;;;1;1;26/02/2026;
27;11;;Cabang Bogor;LOC-027;Branch;;;;;;;Bogor;Jawa Barat;;;;0;1;26/02/2026;
28;12;;Plant Bogor;LOC-028;Plant;;;;;;;Bogor;Jawa Barat;;;;1;1;26/02/2026;
29;12;;Cabang Cibitung;LOC-029;Branch;;;;;;;Bekasi;Jawa Barat;;;;0;1;26/02/2026;
30;13;;Gudang Cibitung;LOC-030;Warehouse;;;;;;;Bekasi;Jawa Barat;;;;1;1;26/02/2026;
31;13;;Cabang Sentul;LOC-031;Branch;;;;;;;Bogor;Jawa Barat;;;;0;1;26/02/2026;
32;13;;Cabang Kosambi;LOC-032;Branch;;;;;;;Tangerang;Banten;;;;0;1;26/02/2026;
33;14;;Head Office Medan;LOC-033;Head Office;;;;;;;Medan;Sumatera Utara;;;;1;1;26/02/2026;
34;15;;Plant Karawang;LOC-034;Plant;;;;;;;Karawang;Jawa Barat;;;;1;1;26/02/2026;
35;16;;Head Office Surabaya;LOC-035;Head Office;;;;;;;Surabaya;Jawa Timur;;;;1;1;26/02/2026;
36;17;;Plant Pondok Ungu;LOC-036;Plant;;;;;;;Bekasi;Jawa Barat;;;;1;1;26/02/2026;
37;17;;Cabang Karawang;LOC-037;Branch;;;;;;;Karawang;Jawa Barat;;;;0;1;26/02/2026;
38;18;;Plant Serang;LOC-038;Plant;;;;;;;Serang;Banten;;;;1;1;26/02/2026;
39;19;;Plant Karawang;LOC-039;Plant;;;;;;;Karawang;Jawa Barat;;;;1;1;26/02/2026;
40;19;;Gudang GIIC;LOC-040;Warehouse;;;;;;;Bekasi;Jawa Barat;;;;0;1;26/02/2026;
41;20;;Plant GIIC;LOC-041;Plant;;;;;;;Bekasi;Jawa Barat;;;;1;1;26/02/2026;
