unit,field,marketing,accounting,used
2062,PO,26000707,PO/BULAN,accounting
5295,PO,101/SML/XI/2025,PO-ID-0006687,accounting
5296,PO,101/SML/XI/2025,PO-ID-0006687,accounting
5300,PO,No. 4610022445/22628/IKS-SML/VII/2025,SIK-71113454,accounting
2150,PO,SPXID-PO-1223902,SPXID-PO-122390-1,accounting
2155,PO,SPXID-PO-1223902,SPXID-PO-122390-1,accounting
2162,PO,086/SML/X/2025,669/SML/XI/2023 Menjadi 800/SML/XII/2024,accounting
5722,PO,107/SML-FORKLIFT/IBR/VI/2025,2300047648,accounting
2167,PO,SPXID-PO-1223902,SPXID-PO-122390-1,accounting
5723,PO,107/SML-FORKLIFT/IBR/VI/2025,2300047648,accounting
5724,PO,107/SML-FORKLIFT/IBR/VI/2025,2300047648,accounting
2176,PO,086/SML/X/2025,669/SML/XI/2023 Menjadi 800/SML/XII/2024,accounting
2180,PO,107/SML-FORKLIFT/IBR/VI/2025,2300047978,accounting
5739,PO,GIT/25/00583,GIT/25/080583,accounting
6033,PO,dalam proses,Belum Terima PO,accounting
5747,PO,107/SML-FORKLIFT/IBR/VI/2025,2300047978,accounting
2294,PO,365/SML/VIII/2024,"098/SP/AKD/XI/2025, 098/SML/XI/2025",accounting
5748,PO,107/SML-FORKLIFT/IBR/VI/2025,2300047978,accounting
5749,PO,107/SML-FORKLIFT/IBR/VI/2025,2300047978,accounting
5343,PO,804/SML/I/2025,432600015,accounting
5752,PO,No. 055/SML/VII/2025,4600488982,accounting
2317,PO,804/SML/I/2025,432600015,accounting
5753,PO,dalam proses,Belum Terima PO,accounting
5346,PO,804/SML/I/2025,432600015,accounting
2342,PO,44966961,44929525,accounting
5351,PO,754/SML/X/2024,PO/BULAN,accounting
5355,PO,110/SML-D/I/2026,ADA PO,accounting
5768,PO,No. 055/SML/VII/2025,4600488977,accounting
5769,PO,No. 055/SML/VII/2025,4600489039,accounting
5770,PO,No. 055/SML/VII/2025,4600489038,accounting
5365,PO,44966961,44929525,accounting
5772,PO,No. 055/SML/VII/2025,4600488988,accounting
5773,PO,No. 055/SML/VII/2025,4600488976,accounting
5774,PO,No. 055/SML/VII/2025,4600488983,accounting
5775,PO,No. 055/SML/VII/2025,4600488987,accounting
5776,PO,No. 055/SML/VII/2025,4600488981,accounting
5370,PO,44966961,44929525,accounting
2466,PO,002/1/2026,ada po Mob 2jt,accounting
2564,PO,714/SML/V/2024,4400868810 & 4400868811,accounting
2621,PO,4610021370/21532/SML/X/2024,71113301,accounting
2639,PO,TGR-71110905/4610018466,TGR-71110905,accounting
2657,PO,037//SML/VI/2025,037/SML/VI/2025,accounting
2694,PO,4300128490,Po Perbulan,accounting
2696,PO,CS-200110828,CS-200110814,accounting
2754,PO,107/SML-FORKLIFT/IBR/VI/2025,2300047978,accounting
5433,PO,No. 4610022445/22628/IKS-SML/VII/2025,SIK-71113454,accounting
5436,PO,No. 4610022445/22628/IKS-SML/VII/2025,SIK-71113454,accounting
2828,PO,AMD I - 060/LGL-0066/PTIL/WHS-C3/III/2022,133/LGL-0399/PTIL/WHS-C3/VII/2025,accounting
2881,PO,086/SML/X/2025,669/SML/XI/2023 Menjadi 800/SML/XII/2024,accounting
2902,PO,107/SML-FORKLIFT/IBR/VI/2025,2300047324,accounting
5461,PO,IDN10002658,IDN10026528,accounting
2904,PO,PO00045988,PO00068491 PO LANJUTAN PO00065715,accounting
2968,PO,AMD I - 060/LGL-0066/PTIL/WHS-C3/III/2022,133/LGL-0399/PTIL/WHS-C3/VII/2025,accounting
2969,PO,AMD I - 060/LGL-0066/PTIL/WHS-C3/III/2022,133/LGL-0399/PTIL/WHS-C3/VII/2025,accounting
2970,PO,AMD I - 060/LGL-0066/PTIL/WHS-C3/III/2022,133/LGL-0399/PTIL/WHS-C3/VII/2025,accounting
2971,PO,AMD I - 060/LGL-0066/PTIL/WHS-C3/III/2022,133/LGL-0399/PTIL/WHS-C3/VII/2025,accounting
2986,PO,107/SML-FORKLIFT/IBR/VI/2025,2300047978,accounting
5034,PO,804/SML/I/2025,432600015,accounting
3002,PO,107/SML-FORKLIFT/IBR/VI/2025,2300047324,accounting
3004,PO,AMD I - 060/LGL-0066/PTIL/WHS-C3/III/2022,133/LGL-0399/PTIL/WHS-C3/VII/2025,accounting
3005,PO,PORD-25P1-00005755,PORD-25P1-00006495,accounting
1003,PO,104/SML/XII/2025,PO-2025/12-0531,accounting
5123,PO,4212029724,4212032259,accounting
5124,PO,4212029724,4212032259,accounting
5125,PO,4212029724,4212032259,accounting
5126,PO,4212029724,4212032259,accounting
5127,PO,4212029724,4212032259,accounting
5128,PO,4212029724,4212032259,accounting
5130,PO,4212031112,4212032259,accounting
5134,PO,715/SML/V/2024,4400868812,accounting
5136,PO,No. 4610022445/22628/IKS-SML/VII/2025,SIK-71113454,accounting
3098,PO,086/SML/X/2026,669/SML/XI/2023 Menjadi 800/SML/XII/2024,accounting
1052,PO,594/SML/1/2023,594/SML/I/2023,accounting
5148,PO,023/SML/IV/2025,184-OTR-UC0525,accounting
5153,PO,4212030004,4212032259,accounting
5157,PO,44966961,44929525,accounting
3114,PO,594/SML/1/2023,594/SML/I/2023,accounting
3115,PO,Service Agreement,po/bulan,accounting
3118,PO,594/SML/1/2023,594/SML/I/2023,accounting
5159,PO,44966961,44929525,accounting
3123,PO,594/SML/1/2023,594/SML/I/2023,accounting
3141,PO,PO00043925,PO00060404,accounting
5186,PO,Service Agreement 01 Maret 2025,4504774696-GL1,accounting
5187,PO,9.0134/PO/SMI/IX/26,po per bulan,accounting
5190,PO,007/PUR/MG/IV/2025,4720035011,accounting
5192,PO,203/PURC.CMBP/8/2024,294/PURC.CMBP/9/2025,accounting
5196,PO,033/PCH-CORP/KRW-KCS/VIII/2024,GEDUNG P2 - DC,accounting
5198,PO,033/PCH-CORP/KRW-KCS/VIII/2024,GEDUNG B9 - DC,accounting
5209,PO,44966961,44929525,accounting
3162,PO,PO00045192,PO00068742- PO00065714,accounting
5210,PO,44966961,44929525,accounting
5220,PO,TAJVPO26010012,PO/BULAN,accounting
3179,PO,714/SML/V/2024,4400868810 & 4400868811,accounting
3180,PO,"4610021742/21914,21906/PEP-SML",71113594,accounting
3181,PO,714/SML/V/2024,4400868810 & 4400868811,accounting
5244,PO,44966961,44929525,accounting
5245,PO,44966961,44929525,accounting
5260,PO,"4610021742/21914,21906/PEP-SML",71112754,accounting
5272,PO,PO PERBULAN,C240023923,accounting
3229,PO,714/SML/V/2024,4400868810 & 4400868811,accounting
3230,PO,581/SML/II/2023,POTOM0004,accounting
5280,PO,44966961,44929525,accounting
5283,PO,4540076745,4540078005,accounting
5284,PO,007/SML/II/2025,4506747847,accounting
5122,PO,4212029724,4212032259,accounting
5288,PO,No. 4610022445/22628/IKS-SML/VII/2025,SIK-71113454,accounting
5289,PO,295/PURRC.CMBP/9/2025,295/PURC.CMBP/9/2025,accounting
1202,PO,74/LGEIN/SHEE/V-06/2025,PO/TNA/IX/2025/1230,accounting
5293,PO,007/SML/II/2025,4506747847,accounting
3255,PO,Service Agreement,78863,accounting
3256,PO,Service Agreement,78863,accounting
3257,PO,Service Agreement,po/bulan,accounting
3258,PO,Service Agreement,78863,accounting
3260,PO,Service Agreement,po/bulan,accounting
5309,PO,747/SML/IX/2024,PO/TNA/IX/2025/1230,accounting
5314,PO,033/PCH-CORP/KRW-KCS/VIII/2024,GEDUNG P2 - DC,accounting
5129,PO,4212029724,4212032259,accounting
5325,PO,No. 4610022445/22628/IKS-SML/VII/2025,SIK-71113454,accounting
5327,PO,No. 4610022445/22628/IKS-SML/VII/2025,SIK-71113454,accounting
5330,PO,44966961,44967667,accounting
3295,PO,107/SML-FORKLIFT/IBR/VI/2025,2300047978,accounting
5341,PO,Service Agreement,po/bulan,accounting
3304,PO,44966961,44929525,accounting
5345,PO,9.0134/PO/SMI/IX/26,po per bulan,accounting
5362,PO,44966961,44929525,accounting
3319,PO,157/PO/PAG-SML/PSM/VI/2023,CS #6 (UTARA),accounting
3320,PO,158/PO/PAG-SML/PSM/II/2023,USER : BPK ISMAIL,accounting
5363,PO,44966961,44929525,accounting
5364,PO,44966961,44929525,accounting
5366,PO,44966961,44929525,accounting
5367,PO,44966961,44929525,accounting
5368,PO,44966961,44929525,accounting
5369,PO,44966961,44929525,accounting
3331,PO,714/SML/V/2024,4400868810 & 4400868811,accounting
5371,PO,44966961,44929525,accounting
5373,PO,44966961,44929525,accounting
5381,PO,804/SML/I/2025,432600015,accounting
5383,PO,804/SML/I/2025,432600015,accounting
5386,PO,TAJVPO26010001,PO/BULAN,accounting
5391,PO,007/PUR/MG/IV/2025,4720035012,accounting
3369,PO,44966961,44929525,accounting
3373,PO,107/SML-FORKLIFT/IBR/VI/2025,2300047324,accounting
3374,PO,107/SML-FORKLIFT/IBR/VI/2025,2300047978,accounting
3383,PO,No. 003/LGL-0004/PTIL/WHS-CKR/III/2023,003/LGL-0004/PTIL/WHS-CKR/III/2023,accounting
3384,PO,No. 003/LGL-0004/PTIL/WHS-CKR/III/2023,003/LGL-0004/PTIL/WHS-CKR/III/2023,accounting
3400,PO,157/PO/PAG-SML/PSM/VI/2023,FS #1 (SELATAN),accounting
3401,PO,157/PO/PAG-SML/PSM/VI/2023,FS #3 (UTARA),accounting
3410,PO,157/PO/PAG-SML/PSM/VI/2023,FS #1 (SELATAN),accounting
3418,PO,No. 003/LGL-0004/PTIL/WHS-CKR/III/2023,003/LGL-0004/PTIL/WHS-CKR/III/2023,accounting
5158,PO,44966961,44929525,accounting
5161,PO,44966961,44929525,accounting
5162,PO,Service Agreement 01 Maret 2025,4504774696-GL1,accounting
5570,PO,804/SML/I/2025,432600015,accounting
5501,PO,4540076745,4540078005,accounting
5502,PO,4540076745,4540078005,accounting
5571,PO,804/SML/I/2025,432600015,accounting
1428,PO,204/PURC.CMBP/8/2024,295/PURC.CMBP/9/2025,accounting
5539,PO,Service Agreement 01 Maret 2025,4504774696-GL1,accounting
3502,PO,157/PO/PAG-SML/PSM/VI/2023,FS #3 (UTARA),accounting
3503,PO,157/PO/PAG-SML/PSM/VI/2023,FS #1 (SELATAN),accounting
3504,PO,157/PO/PAG-SML/PSM/VI/2023,STT (SELATAN),accounting
3505,PO,157/PO/PAG-SML/PSM/VI/2023,FS #3 (UTARA),accounting
3506,PO,157/PO/PAG-SML/PSM/VI/2023,CS #1 (SELATAN),accounting
3507,PO,157/PO/PAG-SML/PSM/VI/2023,CS #3 (UTARA),accounting
3508,PO,157/PO/PAG-SML/PSM/VI/2023,FS #1 (SELATAN),accounting
3509,PO,157/PO/PAG-SML/PSM/VI/2023,FS #3 (UTARA),accounting
3510,PO,157/PO/PAG-SML/PSM/VI/2023,FS #3 (UTARA),accounting
3511,PO,107/SML-FORKLIFT/IBR/VI/2025,2300047324,accounting
3512,PO,107/SML-FORKLIFT/IBR/VI/2025,2300047324,accounting
3513,PO,107/SML-FORKLIFT/IBR/VI/2025,2300047324,accounting
3514,PO,157/PO/PAG-SML/PSM/VI/2023,CS #6 (UTARA),accounting
3516,PO,107/SML-FORKLIFT/IBR/VI/2025,2300047324,accounting
3517,PO,4212029724,4212032259,accounting
3518,PO,157/PO/PAG-SML/PSM/VI/2023,FS #3 (UTARA),accounting
3519,PO,157/PO/PAG-SML/PSM/VI/2023,FS #1 (SELATAN),accounting
3520,PO,157/PO/PAG-SML/PSM/VI/2023,CS #1 (SELATAN),accounting
3521,PO,157/PO/PAG-SML/PSM/VI/2023,FS #3 (UTARA),accounting
3522,PO,157/PO/PAG-SML/PSM/VI/2023,CS #6 (UTARA),accounting
3523,PO,157/PO/PAG-SML/PSM/VI/2023,CS #3 (UTARA),accounting
3524,PO,157/PO/PAG-SML/PSM/VI/2023,CS #1 (SELATAN),accounting
3526,PO,157/PO/PAG-SML/PSM/VI/2023,CARTON BOX (SELATAN),accounting
3527,PO,157/PO/PAG-SML/PSM/VI/2023,CS #6 (UTARA),accounting
3528,PO,157/PO/PAG-SML/PSM/VI/2023,FS #1 (SELATAN),accounting
3529,PO,157/PO/PAG-SML/PSM/VI/2023,FS #3 (UTARA),accounting
3530,PO,157/PO/PAG-SML/PSM/VI/2023,CS #3 (UTARA),accounting
3531,PO,157/PO/PAG-SML/PSM/VI/2023,CARTON BOX (SELATAN),accounting
3532,PO,157/PO/PAG-SML/PSM/VI/2023,CS #3 (UTARA),accounting
3534,PO,086/SML/X/2025,669/SML/XI/2023 Menjadi 800/SML/XII/2024,accounting
5579,PO,804/SML/I/2025,432600015,accounting
5580,PO,804/SML/I/2025,432600015,accounting
3544,PO,157/PO/PAG-SML/PSM/VI/2023,CS #3 (UTARA),accounting
3545,PO,157/PO/PAG-SML/PSM/VI/2023,CS #6 (UTARA),accounting
3546,PO,157/PO/PAG-SML/PSM/VI/2023,CS #3 (UTARA),accounting
3548,PO,4212029724,4212032259,accounting
5599,PO,Service Agreement 01 Maret 2025,4504774693-GL1,accounting
3554,PO,4212029724,4212032259,accounting
3558,PO,No. 4610022445/22628/IKS-SML/VII/2025,SIK-71113454,accounting
3577,PO,44966961,44967667,accounting
3578,PO,44966961,44967667,accounting
5620,PO,028/SML/ADD.1/V/2025,2711/PB/IJMSIPCI08/2024,accounting
3581,PO,44966961,44929525,accounting
3582,PO,804/SML/I/2025,432600015,accounting
5622,PO,TGR-71111285,TGR-71112853,accounting
3588,PO,4212029724,4212032259,accounting
3589,PO,4212029724,4212032259,accounting
3590,PO,4212029724,4212032259,accounting
3591,PO,4212029724,4212032259,accounting
3609,PO,804/SML/I/2025,432600015,accounting
3610,PO,804/SML/I/2025,432600015,accounting
3612,PO,086/SML/X/2025,669/SML/XI/2023 Menjadi 800/SML/XII/2024,accounting
3613,PO,107/SML-FORKLIFT/IBR/VI/2025,2300047096,accounting
3622,PO,365/SML/VIII/2024,"098/SP/AKD/XI/2025, 098/SML/XI/2025",accounting
3625,PO,4506977779,4506977779 (PIC PAK YAN),accounting
3633,PO,804/SML/I/2025,432600015,accounting
3634,PO,44966961,44929525,accounting
5609,PO,Service Agreement 01 Maret 2025,4504774699-GL1,accounting
1600,PO,NO. 134/HPP/RM/MG/X/25,105/HPP/RM/MG/VII/25,accounting
5610,PO,Service Agreement 01 Maret 2025,4504774699-GL1,accounting
3654,PO,086/SML/X/2025,669/SML/XI/2023 Menjadi 800/SML/XII/2024,accounting
5611,PO,Service Agreement 01 Maret 2025,4504774699-GL1,accounting
5612,PO,Service Agreement 01 Maret 2025,4504774699-GL1,accounting
3665,PO,688/SMLII/2024,688/SML/II/2024,accounting
3666,PO,804/SML/I/2025,432600015,accounting
5613,PO,Service Agreement 01 Maret 2025,4504774699-GL1,accounting
3669,PO,804/SML/I/2025,432600015,accounting
3673,PO,804/SML/I/2025,432600015,accounting
3679,PO,107/SML-FORKLIFT/IBR/VI/2025,2300047324,accounting
3680,PO,107/SML-FORKLIFT/IBR/VI/2025,2300047324,accounting
3681,PO,107/SML-FORKLIFT/IBR/VI/2025,2300047324,accounting
3682,PO,107/SML-FORKLIFT/IBR/VI/2025,2300047324,accounting
3683,PO,107/SML-FORKLIFT/IBR/VI/2025,2300047324,accounting
3684,PO,107/SML-FORKLIFT/IBR/VI/2025,2300047324,accounting
3686,PO,804/SML/I/2025,432600015,accounting
3688,PO,023/SML/IV/2025,184-OTR-UC0525,accounting
3692,PO,156/PO/2025,156/PO/2023,accounting
5738,PO,GIT/25/00583,GIT/25/121048,accounting
3706,PO,671/SML/XII/2023,IDN10029194,accounting
3707,PO,44966961,44929525,accounting
3715,PO,44966961,44929525,accounting
5623,PO,TGR-71111285,TGR-71112853,accounting
5763,PO,No. 055/SML/VII/2025,4600488986,accounting
5764,PO,No. 055/SML/VII/2025,4600488978,accounting
5765,PO,No. 055/SML/VII/2025,4600489036,accounting
5766,PO,No. 055/SML/VII/2025,4600488979,accounting
5767,PO,No. 055/SML/VII/2025,4600488985,accounting
3731,PO,107/SML-FORKLIFT/IBR/VI/2025,2300047298,accounting
5626,PO,TGR-71111285,TGR-71112853,accounting
5627,PO,TGR-71111285,TGR-71112853,accounting
5779,PO,No. 055/SML/VII/2025,4600489035,accounting
5780,PO,No. 055/SML/VII/2025,4600488975,accounting
3745,PO,44966961,44967667,accounting
5629,PO,TGR-71112939,TGR-71112939 (ARIBA),accounting
3754,PO,26000919,PO/BULAN,accounting
3777,PO,804/SML/I/2025,432600015,accounting
3798,PO,No. 069/SPj/LEG/HI/X/25,3215005327,accounting
3801,PO,4212029724,4212032259,accounting
3802,PO,4212029724,4212032259,accounting
3803,PO,4212029724,4212032259,accounting
3804,PO,4212029724,4212032259,accounting
1773,PO,107/SML-FORKLIFT/IBR/VI/2025,2300047298,accounting
1777,PO,700/SML/III/2024,4201175015IDJ2,accounting
3830,PO,804/SML/I/2025,432600015,accounting
3832,PO,44966961,44967667,accounting
3833,PO,44966961,44967667,accounting
3834,PO,44966961,44967667,accounting
3835,PO,44966961,44967667,accounting
3836,PO,44966961,44967667,accounting
3838,PO,PORD-25P1-00005755,PORD-25P1-00006495,accounting
3841,PO,44966961,44967667,accounting
3843,PO,PO PERBULAN,PO/BULAN,accounting
3846,PO,44966961,44967667,accounting
3849,PO,44966961,44967667,accounting
3851,PO,PO PERBULAN,PO/BULAN,accounting
3852,PO,PO PERBULAN,PO/BULAN,accounting
3853,PO,007/PUR/MG/IV/2025,4720035009,accounting
3854,PO,4610021370/21532/SML/X/2024,71113302,accounting
3855,PO,007/PUR/MG/IV/2025,4720035010,accounting
3860,PO,4610022263/22646/SDJ-SML/V/2025,71113230,accounting
3861,PO,804/SML/I/2025,432600015,accounting
3862,PO,804/SML/I/2025,432600015,accounting
3863,PO,804/SML/I/2025,432600015,accounting
1816,PO,086/SML/X/2025,669/SML/XI/2023 Menjadi 800/SML/XII/2024,accounting
3864,PO,804/SML/I/2025,432600015,accounting
3867,PO,PO PERBULAN,8080488987,accounting
3912,PO,4212029724,4212032259,accounting
3913,PO,4212029724,4212032259,accounting
3914,PO,4212029724,4212032259,accounting
3915,PO,4212029724,4212032259,accounting
3916,PO,4212029724,4212032259,accounting
3917,PO,4212029724,4212032259,accounting
3918,PO,4212029724,4212032259,accounting
3919,PO,4212029724,4212032259,accounting
3920,PO,4212029724,4212032259,accounting
3921,PO,4212029724,4212032259,accounting
3924,PO,"4610021742/21914,21906/PEP-SML",71112753,accounting
3931,PO,4610021743/21877/PEP-SML/X/2024,71112786,accounting
5985,PO,No. 084/SML/X/2025,po/bln,accounting
5994,PO,097/SML/XI/2025,432500640,accounting
5995,PO,097/SML/XI/2025,432500640,accounting
3955,PO,4610021370/21532/SML/X/2024,71113303,accounting
3986,PO,4212029724,4212032259,accounting
3988,PO,4212029724,4212032259,accounting
3989,PO,4212029724,4212032259,accounting
3990,PO,4212029724,4212032259,accounting
3991,PO,4212029724,4212032259,accounting
3992,PO,4212029724,4212032259,accounting
3993,PO,4212029724,4212032259,accounting
3995,PO,4212029724,4212032259,accounting
6044,PO,BDG-71113942,71113941,accounting
6070,PO,PO00046232,PO00065941,accounting
1977,PO,033/PCH-CORP/KRW-KCS/VIII/2024,GEDUNG P2 - DC,accounting
6072,PO,PO04­251200117,PO04-251200117,accounting
5615,PO,Service Agreement 01 Maret 2025,4504774693-GL1,accounting
5286,PO,007/SML/II/2025,4506747847,accounting
5616,PO,Service Agreement 01 Maret 2025,4504774693-GL1,accounting
