MARKETING;CUSTOMER;NOUNIT;;LOKASI;UNIT ANTAR;HARGA;PO;Kontrak;PERIODE KONTRAK/PO
DEIS;AMERTA INDAH OTSUKA;1390;;BARU;30-May-24;Rp22.030.000;4212032259;;01/01/26-31/12/26
DEIS;AMERTA INDAH OTSUKA;5128;;WH-A RMPM;30-Dec-23;Rp22.030.000;4212032259;;
DEIS;AMERTA INDAH OTSUKA;5126;;Cicurug/WH ENMIX RMPM;28-Dec-23;Rp21.030.000;4212032259;;
DEIS;AMERTA INDAH OTSUKA;5129;;WH-C RMPM;30-Dec-23;Rp22.030.000;4212032259;;
DEIS;AMERTA INDAH OTSUKA;5127;;WH-B1 FG;21-Dec-23;Rp22.030.000;4212032259;;
DEIS;AMERTA INDAH OTSUKA;5124;;WH-B2 FG;03-Jan-24;Rp22.030.000;4212032259;;
DEIS;AMERTA INDAH OTSUKA;5125;;WH-B3 FG;06-Jan-24;Rp22.030.000;4212032259;;
DEIS;AMERTA INDAH OTSUKA;5122;;LDC Pasar Rebo;28-Dec-23;Rp22.030.000;4212032259;;
DEIS;AMERTA INDAH OTSUKA;5123;;LDC Bekasi;27-Dec-23;Rp22.030.000;4212032259;;
DEIS;AMERTA INDAH OTSUKA;3591;;Cicurug/ RMPM;27-Dec-23;Rp11.850.000;4212032259;;
DEIS;AMERTA INDAH OTSUKA;3801;;Cicurug/ RMPM;22-Dec-23;Rp11.000.000;4212032259;;
DEIS;AMERTA INDAH OTSUKA;3913;;Cicurug/ RMPM;22-Dec-23;Rp11.000.000;4212032259;;
DEIS;AMERTA INDAH OTSUKA;3912;;Cicurug/ RMPM;27-Dec-23;Rp11.000.000;4212032259;;
DEIS;AMERTA INDAH OTSUKA;3914;;Cicurug/ Staging FG transfer WHA (1);27-Dec-23;Rp11.000.000;4212032259;;
DEIS;AMERTA INDAH OTSUKA;3554;;Cicurug/ Staging delivery;27-Dec-23;Rp11.850.000;4212032259;;
DEIS;AMERTA INDAH OTSUKA;3986;;Cicurug/ Delivery;27-Dec-23;Rp11.850.000;4212032259;;
DEIS;AMERTA INDAH OTSUKA;3590;;Cicurug/ Staging delivery;27-Dec-23;Rp11.850.000;4212032259;;
DEIS;AMERTA INDAH OTSUKA;3995;;Cicurug;27-Dec-23;Rp11.850.000;4212032259;;
DEIS;AMERTA INDAH OTSUKA;3988;;Cicurug;27-Dec-23;Rp11.850.000;4212032259;;
DEIS;AMERTA INDAH OTSUKA;3915;;Cicurug/ Loading CAN/ PET;27-Dec-23;Rp11.000.000;4212032259;;
DEIS;AMERTA INDAH OTSUKA;3916;;Cicurug/ Loading OC3;27-Dec-23;Rp11.000.000;4212032259;;
DEIS;AMERTA INDAH OTSUKA;3802;;Cicurug/ Transferan WHB;27-Dec-23;Rp10.800.000;4212032259;;
DEIS;AMERTA INDAH OTSUKA;3917;;Cicurug/ Transferan WH A;27-Dec-23;Rp10.800.000;4212032259;;
DEIS;AMERTA INDAH OTSUKA;3919;;Cicurug/ Loading AL4;27-Dec-23;Rp11.000.000;4212032259;;
DEIS;AMERTA INDAH OTSUKA;3920;;Cicurug/ Staging FG Transfer WH A (2);28-Dec-23;Rp11.000.000;4212032259;;
DEIS;AMERTA INDAH OTSUKA;3921;;Cicurug/ Staging FG Transfer WH B;28-Dec-23;Rp11.000.000;4212032259;;
DEIS;AMERTA INDAH OTSUKA;3804;;Cicurug/ Nami Paletiser;28-Dec-23;Rp11.000.000;4212032259;;
DEIS;AMERTA INDAH OTSUKA;3548;;Cicurug/ SIPA;28-Dec-23;Rp12.050.000;4212032259;;
DEIS;AMERTA INDAH OTSUKA;3803;;Cicurug/ CAN, PET, OC3,;28-Dec-23;Rp11.000.000;4212032259;;
DEIS;AMERTA INDAH OTSUKA;3990;;Cicurug/ Preparasi Luaar;28-Dec-23;Rp11.850.000;4212032259;;
DEIS;AMERTA INDAH OTSUKA;3588;;Cicurug/ Sugar handling OC3/ PET;18-Dec-23;Rp12.050.000;4212032259;;
DEIS;AMERTA INDAH OTSUKA;3991;;Cicurug/ Shrink/ PET;29-Dec-23;Rp10.800.000;4212032259;;
DEIS;AMERTA INDAH OTSUKA;3992;;Cicurug/ Lifter CAN;29-Dec-23;Rp11.000.000;4212032259;;
