id;customer_code;customer_name;phone;email;marketing_name;is_active;created_at;updated_at;address;npwp;billing_address;payment_terms;credit_limit;industry_type;deleted_at
1;CUST-0001;PT ABC Kogen Dairy;;;;1;;;;;;;;;
2;CUST-0002;PT Adira Makmur Abadi;;;;1;;;;;;;;;
3;CUST-0003;PT Admira Garuda Nusantara;;;;1;;;;;;;;;
4;CUST-0004;PT Amerta Indah Otsuka;;;;1;;;;;;;;;
5;CUST-0005;PT Anugerah Kertas Utama;;;;1;;;;;;;;;
6;CUST-0006;PT Arisamandiri Pratama;;;;1;;;;;;;;;
7;CUST-0007;PT Aristides Logistik;;;;1;;;;;;;;;
8;CUST-0008;PT ARK Logistics & Facility Management;;;;1;;;;;;;;;
9;CUST-0009;PT Asahimas Flat Glass Tbk;;;;1;;;;;;;;;
10;CUST-0010;PT Asian Isuzu Casting Center;;;;1;;;;;;;;;
11;CUST-0011;PT Asianagro Agungjaya;;;;1;;;;;;;;;
12;CUST-0012;PT Aspex Kumbong;;;;1;;;;;;;;;
13;CUST-0013;PT Astro Technologies Indonesia;;;;1;;;;;;;;;
14;CUST-0014;PT AT Engineering;;;;0;;;;;;;;;
15;CUST-0015;PT Automotive Fastener Aoyama Indonesia;;;;1;;;;;;;;;
16;CUST-0016;PT Badan Sentra Mitra;;;;1;;;;;;;;;
17;CUST-0017;PT Bakrie Autoparts;;;;1;;;;;;;;;
18;CUST-0018;PT Banyu Laut Banten;;;;1;;;;;;;;;
19;CUST-0019;PT Bekaert Indonesia;;;;1;;;;;;;;;
20;CUST-0020;PT Berjaya Nawaplastic Indonesia;;;;1;;;;;;;;;
21;CUST-0021;PT Berkah Makmur Rejeki;;;;0;;;;;;;;;
22;CUST-0022;PT Berkat Anugerah Plasindo Pratama;;;;0;;;;;;;;;
23;CUST-0023;PT Berlina Tbk;;;;1;;;;;;;;;
24;CUST-0024;PT Bima Inti Kertas;;;;1;;;;;;;;;
25;CUST-0025;PT Bitutek;;;;1;;;;;;;;;
26;CUST-0026;PT Bridon;;;;1;;;;;;;;;
27;CUST-0027;PT Bukit Muria Jaya;;;;1;;;;;;;;;
28;CUST-0028;PT Cahayaputra Asa Keramik Tbk;;;;1;;;;;;;;;
29;CUST-0029;PT Catur Sentosa Anugerah;;;;1;;;;;;;;;
30;CUST-0030;PT Cemindo Gemilang Tbk;;;;1;;;;;;;;;
31;CUST-0031;PT Central Motor Wheel Indonesia;;;;1;;;;;;;;;
32;CUST-0032;PT Cepat MRO Solusi Indonesia;;;;1;;;;;;;;;
33;CUST-0033;PT CFM Minerals;;;;1;;;;;;;;;
34;CUST-0034;PT Cipta Futura;;;;1;;;;;;;;;
35;CUST-0035;PT Cipta Mapan Logistik;;;;1;;;;;;;;;
36;CUST-0036;PT Cipta Mortar Utama;;;;1;;;;;;;;;
37;CUST-0037;PT Cipta Multi Buana Perkasa;;;;1;;;;;;;;;
38;CUST-0038;PT Cipta Niaga Semesta;;;;1;;;;;;;;;
39;CUST-0039;PT Cipta Unggul Lintas Samudera;;;;1;;;;;;;;;
40;CUST-0040;PT CJ Logistics Indonesia;;;;1;;;;;;;;;
41;CUST-0041;PT CJ Logistics Service Indonesia;;;;1;;;;;;;;;
42;CUST-0042;PT Cloud Machinery Technology Indonesia;;;;1;;;;;;;;;
43;CUST-0043;PT Colorobbia Indonesia;;;;1;;;;;;;;;
44;CUST-0044;PT CS2 Pola Sehat;;;;1;;;;;;;;;
45;CUST-0045;PT Daesan Makmur Sentosa;;;;1;;;;;;;;;
46;CUST-0046;PT Daho PNC Indonesia;;;;1;;;;;;;;;
47;CUST-0047;PT Dayacipta Kemasindo;;;;1;;;;;;;;;
48;CUST-0048;PT Dharma Controlcable Indonesia;;;;1;;;;;;;;;
49;CUST-0049;PT Dharma Polimetal Tbk;;;;1;;;;;;;;;
50;CUST-0050;PT DHL Supply Chain Indonesia;;;;1;;;;;;;;;
51;CUST-0051;PT Duta Citra Lestari;;;;1;;;;;;;;;
52;CUST-0052;PT Duta Sentosa Yasa;;;;1;;;;;;;;;
53;CUST-0053;PT Dutalestari Sentratama;;;;1;;;;;;;;;
54;CUST-0054;PT Electra Mobilitas Indonesia;;;;1;;;;;;;;;
55;CUST-0055;PT Energi Sejahtera Mas;;;;1;;;;;;;;;
56;CUST-0056;PT Fajar Surya Wisesa Tbk;;;;1;;;;;;;;;
57;CUST-0057;PT Fajar Unggul Nusantara;;;;1;;;;;;;;;
58;CUST-0058;PT Flora Food Manufacturing;;;;1;;;;;;;;;
59;CUST-0059;PT Fosroc Indonesia;;;;1;;;;;;;;;
60;CUST-0060;PT Frigoglass Indonesia;;;;1;;;;;;;;;
61;CUST-0061;PT Fukuyama Giken Indonesia;;;;1;;;;;;;;;
62;CUST-0062;PT Galvanis Tri Lestari;;;;1;;;;;;;;;
