NOUNIT;MARKETING;CUSTOMER;LOKASI;UNIT ANTAR;PO;Kontrak;KONTRAK AWAL;KONTRAK AKHIR;HARGA
5687;WINSTON;ADMIRA GARUDA NUSANTARA;PALEMBANG;20/06/2025;;02/PJB/AGN-SML/VI/2025;20/06/2025;19/06/2028;39,000,000
5688;WINSTON;ADMIRA GARUDA NUSANTARA;PALEMBANG;20/06/2025;;02/PJB/AGN-SML/VI/2025;20/06/2025;19/06/2028;39,000,000
5689;WINSTON;ADMIRA GARUDA NUSANTARA;PALEMBANG;20/06/2025;;02/PJB/AGN-SML/VI/2025;20/06/2025;19/06/2028;39,000,000
5690;WINSTON;ADMIRA GARUDA NUSANTARA;PALEMBANG;20/06/2025;;02/PJB/AGN-SML/VI/2025;20/06/2025;19/06/2028;39,000,000
5691;WINSTON;ADMIRA GARUDA NUSANTARA;PALEMBANG;20/06/2025;;02/PJB/AGN-SML/VI/2025;20/06/2025;19/06/2028;39,000,000
5692;WINSTON;ADMIRA GARUDA NUSANTARA;PALEMBANG;20/06/2025;;02/PJB/AGN-SML/VI/2025;20/06/2025;19/06/2028;39,000,000
5693;WINSTON;ADMIRA GARUDA NUSANTARA;PALEMBANG;20/06/2025;;02/PJB/AGN-SML/VI/2025;20/06/2025;19/06/2028;39,000,000
5694;WINSTON;ADMIRA GARUDA NUSANTARA;PALEMBANG;20/06/2025;;02/PJB/AGN-SML/VI/2025;20/06/2025;19/06/2028;39,000,000
5695;WINSTON;ADMIRA GARUDA NUSANTARA;PALEMBANG;20/06/2025;;02/PJB/AGN-SML/VI/2025;20/06/2025;19/06/2028;39,000,000
5696;WINSTON;ADMIRA GARUDA NUSANTARA;PALEMBANG;20/06/2025;;02/PJB/AGN-SML/VI/2025;20/06/2025;19/06/2028;39,000,000
5914;WINSTON;ADMIRA GARUDA NUSANTARA;PALEMBANG;02/09/2025;;03/PJB/AGN-SML/VIII/2025;20/06/2025;19/06/2028;45,000,000
5915;WINSTON;ADMIRA GARUDA NUSANTARA;PALEMBANG;02/09/2025;;03/PJB/AGN-SML/VIII/2025;20/06/2025;19/06/2028;45,000,000
2828;Tata;AIBM - Indolakto Cicurug-3;Cicurug 3;;;133/LGL-0399/PTIL/WHS-C3/VII/2025;01/04/2025;31/03/2026;11,000,000
2968;Tata;AIBM - Indolakto Cicurug-3;Cicurug 3;;;133/LGL-0399/PTIL/WHS-C3/VII/2025;01/04/2025;31/03/2026;12,500,000
2969;Tata;AIBM - Indolakto Cicurug-3;Cicurug 3;;;133/LGL-0399/PTIL/WHS-C3/VII/2025;01/04/2025;31/03/2026;12,500,000
2970;Tata;AIBM - Indolakto Cicurug-3;Cicurug 3;;;133/LGL-0399/PTIL/WHS-C3/VII/2025;01/04/2025;31/03/2026;12,500,000
2971;Tata;AIBM - Indolakto Cicurug-3;Cicurug 3;;;133/LGL-0399/PTIL/WHS-C3/VII/2025;01/04/2025;31/03/2026;12,500,000
3004;Tata;AIBM - Indolakto Cicurug-3;Cicurug 3;;;133/LGL-0399/PTIL/WHS-C3/VII/2025;01/04/2025;31/03/2026;8,500,000
3802;DEIS;AMERTA INDAH OTSUKA;Cicurug/ Transferan WHB;27/12/2023;4212032259;;01/01/2026;31/12/2026;10,800,000
3591;DEIS;AMERTA INDAH OTSUKA;Cicurug/ RMPM;27/12/2023;4212032259;;01/01/2026;31/12/2026;11,850,000
3801;DEIS;AMERTA INDAH OTSUKA;Cicurug/ RMPM;22/12/2023;4212032259;;01/01/2026;31/12/2026;11,000,000
3913;DEIS;AMERTA INDAH OTSUKA;Cicurug/ RMPM;22/12/2023;4212032259;;01/01/2026;31/12/2026;11,000,000
3912;DEIS;AMERTA INDAH OTSUKA;Cicurug/ RMPM;27/12/2023;4212032259;;01/01/2026;31/12/2026;11,000,000
3914;DEIS;AMERTA INDAH OTSUKA;Cicurug/ Staging FG transfer WHA (1);27/12/2023;4212032259;;01/01/2026;31/12/2026;11,000,000
3554;DEIS;AMERTA INDAH OTSUKA;Cicurug/ Staging delivery;27/12/2023;4212032259;;01/01/2026;31/12/2026;11,850,000
3986;DEIS;AMERTA INDAH OTSUKA;Cicurug/ Delivery;27/12/2023;4212032259;;01/01/2026;31/12/2026;11,850,000
3590;DEIS;AMERTA INDAH OTSUKA;Cicurug/ Staging delivery;27/12/2023;4212032259;;01/01/2026;31/12/2026;11,850,000
3995;DEIS;AMERTA INDAH OTSUKA;Cicurug;27/12/2023;4212032259;;01/01/2026;31/12/2026;11,850,000
3988;DEIS;AMERTA INDAH OTSUKA;Cicurug;27/12/2023;4212032259;;01/01/2026;31/12/2026;11,850,000
3915;DEIS;AMERTA INDAH OTSUKA;Cicurug/ Loading CAN/ PET;27/12/2023;4212032259;;01/01/2026;31/12/2026;11,000,000
3916;DEIS;AMERTA INDAH OTSUKA;Cicurug/ Loading OC3;27/12/2023;4212032259;;01/01/2026;31/12/2026;11,000,000
3917;DEIS;AMERTA INDAH OTSUKA;Cicurug/ Transferan WH A;27/12/2023;4212032259;;01/01/2026;31/12/2026;10,800,000
3919;DEIS;AMERTA INDAH OTSUKA;Cicurug/ Loading AL4;27/12/2023;4212032259;;01/01/2026;31/12/2026;11,000,000
3920;DEIS;AMERTA INDAH OTSUKA;Cicurug/ Staging FG Transfer WH A (2);28/12/2023;4212032259;;01/01/2026;31/12/2026;11,000,000
3921;DEIS;AMERTA INDAH OTSUKA;Cicurug/ Staging FG Transfer WH B;28/12/2023;4212032259;;01/01/2026;31/12/2026;11,000,000
3804;DEIS;AMERTA INDAH OTSUKA;Cicurug/ Nami Paletiser;28/12/2023;4212032259;;01/01/2026;31/12/2026;11,000,000
3548;DEIS;AMERTA INDAH OTSUKA;Cicurug/ SIPA;28/12/2023;4212032259;;01/01/2026;31/12/2026;12,050,000
3803;DEIS;AMERTA INDAH OTSUKA;Cicurug/ CAN, PET, OC3,;28/12/2023;4212032259;;01/01/2026;31/12/2026;11,000,000
3990;DEIS;AMERTA INDAH OTSUKA;Cicurug/ Preparasi Luaar;28/12/2023;4212032259;;01/01/2026;31/12/2026;11,850,000
3588;DEIS;AMERTA INDAH OTSUKA;Cicurug/ Sugar handling OC3/ PET;18/12/2023;4212032259;;01/01/2026;31/12/2026;12,050,000
3991;DEIS;AMERTA INDAH OTSUKA;Cicurug/ Shrink/ PET;29/12/2023;4212032259;;01/01/2026;31/12/2026;10,800,000
3992;DEIS;AMERTA INDAH OTSUKA;Cicurug/ Lifter CAN;29/12/2023;4212032259;;01/01/2026;31/12/2026;11,000,000
3993;DEIS;AMERTA INDAH OTSUKA;Cicurug/ Sugar handling AL4;29/12/2023;4212032259;;01/01/2026;31/12/2026;11,000,000
3589;DEIS;AMERTA INDAH OTSUKA;Cicurug/ Supply resin AL4;29/12/2023;4212032259;;01/01/2026;31/12/2026;12,050,000
3517;DEIS;AMERTA INDAH OTSUKA;Cicurug/ Weighing AL4;29/12/2023;4212032259;;01/01/2026;31/12/2026;12,050,000
3918;DEIS;AMERTA INDAH OTSUKA;Sentul 1;21/12/2023;4212032259;;01/01/2026;31/12/2026;10,800,000
3989;DEIS;AMERTA INDAH OTSUKA;Sentul 2;21/12/2023;4212032259;;01/01/2026;31/12/2026;11,850,000
5130;DEIS;AMERTA INDAH OTSUKA;MEDAN;12/08/2025;4212032259;;01/01/2026;31/12/2026;25,780,000
5153;DEIS;AMERTA INDAH OTSUKA;BARU;30/05/2024;4212032259;;01/01/2026;31/12/2026;22,030,000
5649;Tata;PT ASTRO TECHNOLOGIES INDONESIA;WH Sentul - Bogor;10/05/2025;ID1/POR/25050000000164;;11/05/2025;10/05/2026;15,000,000
5600;Tata;PT ASTRO TECHNOLOGIES INDONESIA;WH Sentul - Bogor;29/04/2025;ID1/POR/25050000002386;;30/04/2025;29/05/2026;15,500,000
5601;Tata;PT ASTRO TECHNOLOGIES INDONESIA;WH Sentul - Bogor;29/04/2025;ID1/POR/25050000002386;;30/04/2025;29/05/2026;15,500,000
5660;Tata;PT ASTRO TECHNOLOGIES INDONESIA;WH Sentul - Bogor;20/05/2025;ID1/POR/25050000006415;;21/05/2025;20/05/2026;15,000,000
5661;Tata;PT ASTRO TECHNOLOGIES INDONESIA;WH Sentul - Bogor;20/05/2025;ID1/POR/25050000006415;;21/05/2025;20/05/2026;15,000,000
5662;Tata;PT ASTRO TECHNOLOGIES INDONESIA;WH Sentul - Bogor;20/05/2025;ID1/POR/25050000006415;;21/05/2025;20/05/2026;15,000,000
3493;Tata;PT ASTRO TECHNOLOGIES INDONESIA;WH Kosambi - Tangerang;21/06/2025;ID1/POR/25050000013470;;22/06/2025;21/06/2025;21,000,000
5978;Tata;PT ASTRO TECHNOLOGIES INDONESIA;Gdg MMP Cibitung;23/10/2025;ID1/POR/251000000321;;24/10/2025;23/04/2026;14,000,000
5997;Tata;PT ASTRO TECHNOLOGIES INDONESIA;Gdg MMP Cibitung;23/10/2025;ID1/POR/251000000321;;24/10/2025;23/04/2026;14,000,000
5404;Tata;PT ASTRO TECHNOLOGIES INDONESIA;Gdg MMP Cibitung;17/11/2025;ID1/POR/251000000322;;18/11/2025;17/05/2026;15,500,000
5414;Tata;PT ASTRO TECHNOLOGIES INDONESIA;Gdg MMP Cibitung;17/11/2025;ID1/POR/251000000322;;18/11/2025;17/05/2026;15,500,000
