 No Batt;Jenis;Aset battery;TYPE BATRE;SN BATRE;NO UNIT;LOKASI;status;Tgl Dtg;Tgl Pertama Kali Kirim
B001;Lead Acid;Remico 48V;4EPzDR;04S16011;2512;YCH Deltamas;TERPASANG;;
B002;Lead Acid;REMICO;3EPzDR500;SMD14R10049;;POOL;TERPASANG;;
B003;Lead Acid;TAB 48V 620Ah;24/7ZB620E;22096;;POOL;TERPASANG;;
B004;Lead Acid;-;-;-;;POOL;AVAILABLE;;
B005;Lead Acid;TAB 48V 600 Ah;-;-;;Bekaert;AVAILABLE;;
B006;Lead Acid;JUNGHEINRICH 48V 620Ah;4PZs620;80876013;;POOL;AVAILABLE;;
B007;Lead Acid;REMICO;-;SMD113294;;POOL;AVAILABLE;;
B008;Lead Acid;TAB 48V 600 Ah;-;SMD13R04114;;POOL;AVAILABLE;;
B009;Lead Acid;KOBE 48 V 560 Ah;-;-;;LG Cibitung;AVAILABLE;;
B010;Lead Acid;TAB 48V 600AH;-;-;;POOL;AVAILABLE;;
B010;Lead Acid;HAWKER 48V 560A;4PZS560;107044;;POOL;AVAILABLE;;
B011;Lead Acid;TAB 48V;24/7PZB602E;18938;;POOL;AVAILABLE;;
B012;Lead Acid;REMICO;-;1050316;;POOL;AVAILABLE;;
B013;Lead Acid;TAB 48V 620Ah;-;100590835;;POOL;AVAILABLE;;
B014;Lead Acid;Enersys 36V 1000 Ah;E125-17;19605;;POOL;AVAILABLE;;
B015;Lead Acid;GS STORAE BATTERY 48V 290A;VSF-4;29015BS-008 - 25110-13900-71-A;;POOL;AVAILABLE;;
B016;Lead Acid;REMICO 36V 1001Ah;9EPzBR972;SMD12R0053;;POOL;AVAILABLE;;
B017;Lead Acid;STILL;24/3EPzS345;S15780;;POOL;AVAILABLE;;
B018;Lead Acid;ROCKET 48V 335AH;VCI335;10815310-191212-001;;POOL;AVAILABLE;;
B019;Lead Acid;KOBE 48V 565AH;24/VSI565;20373;;POOL;AVAILABLE;;
B020;Lead Acid;GS YUASA 48V 565 Ah;-;150917;;POOL;AVAILABLE;;20/11/2019
B021;Lead Acid;TAB 48V 602AH;24/7PzS602;180118;;POOL (POS 2);AVAILABLE;;
B022;Lead Acid;REMICO;-;-;;POOL;AVAILABLE;;
B023;Lead Acid;REMICO 48V 300AH;4EPZBR300;-;;POOL;AVAILABLE;;
B024;Lead Acid;TAB 48V 560Ah;   ;200818;;POOL;AVAILABLE;16/08/2020;
B025;Lead Acid;REMICO;-;SMD15R02015;;POOL;AVAILABLE;;
B026;Lead Acid;LEAD ACID 24V 280AH;12-4DB280;2017093005-420;;POOL;AVAILABLE;;
B027;Lead Acid;REMICO;6EPZS958L;2115;;POOL;AVAILABLE;;
B028;Lead Acid;TAB;-;20697;;POOL;AVAILABLE;;
B029;Lead Acid;TAB;-;10173;;POOL;AVAILABLE;;
B030;Lead Acid;REMICO 36V 958Ah;6EPZSDR958;SMD14R09018;;POOL;AVAILABLE;;
B031;Lead Acid;FAAM;2F25230;33139201503218;;POOL;AVAILABLE;;
B032;Lead Acid;TAB 48V 560 Ah;48/7EPzS560;17224;;POOL;AVAILABLE;;
B033;Lead Acid;HAWKER;;H30206;;POOL;AVAILABLE;;
B034;Lead Acid;GS YUASA 24V 625AH;5DCN625A;29117/CN1DM50/0509/R;;Bekaert;AVAILABLE;;
B035;Lead Acid;GS YUASA 24V 170AH;VSD3A;15819AK-008 D3A-PLD20-12-B;;POOL;AVAILABLE;;
B036;Lead Acid;GS YUASA;VGI565;00091/DN0018/0367;;POOL;AVAILABLE;;
