NO CHARGER;CHARGER ;NO UNIT;LOKASI;STATUS;Tgl Dtg;Tgl Pertama Kali Kirim
C082;48V-100A;;POOL;AVAILABLE;;
C083;BAST 48V-100A;;POOL;AVAILABLE;;
C084;BAST 48V-100A;;POOL;AVAILABLE;;
C085;RG;;POOL (POS 2);AVAILABLE;;
C086;EASYCON PLUS 36V 125A SN : 3139219060464006;;POOL (POS 2) ;AVAILABLE;;
C087;BPI 48V-100A;1458;Unilever Bango Subang;TERPASANG;;
C088;BPI 48V-100A;1497;Unilever Bango Subang;TERPASANG;;
C089;SDC 80V 80A SN : 375982;;LG Tangerang;SPARE;;
C090;ADY 6101 SN : 20200102008;;POOL;AVAILABLE;;
C091;YALE 48V/100A SN : 478722;;POOL;AVAILABLE;;
C092;YALE 48V/100A Type : 8522360;;Unilever Bango Subang;SPARE;;
C093;YALE 48V/100A SN : 476601;6026;Indofood Nutrisi Padalarang - Bandung;TERPASANG;;
C094;SE 48V 60A SN : GT1256;;POOL;AVAILABLE;;
C095;ECOTRON 48V 100A SN : 0447449-0010-001;;Asahimas Cikampek ;SPARE;;
C096;BEIJING DELONG PRL 48V 80A SN : 371791808727005;;POOL;AVAILABLE;;
C097;YALE 48V 100A TY : 8522360;;POOL;AVAILABLE;;
C098;ENERGIC PLUS 48V 80A SN : 139669;;POOL;AVAILABLE;;
C099;STILL ECOTON XMP 24V-30A SN : 21082-D984922001;;POOL;AVAILABLE;;
C100;YALE 48V 100A SN : 443650 TY : K43-260C048-447;;POOL;AVAILABLE;;
C101;GS YUASA 48V 400A SN : 25850-13401-71;;POOL;AVAILABLE;;
C102;MICRO POWER 24V-45A;;Indokuat;SPARE;;
C103;MICRO POWER 24V-45A;;POOL;AVAILABLE;;
C104;GREEN 48V-100A sn : 837-001-000;;Bekaert;SPARE;;
C105;GREEN 48V-100A;;POOL;AVAILABLE;;
C106;RG-T 48V 60A SN : 181387;;POOL;AVAILABLE;;
C107;YALE 50-62 100-35A SN : -;;POOL;AVAILABLE;;
C108;SE 48V 100A SN : AF0590;;ABC Kogen Bandung;SPARE;;
C109;SUMITOMO 48V 100A SN : - ;;POOL;AVAILABLE;;
C110;STILL ECOTRON 48V 80A;;POOL;AVAILABLE;Jung 1.6;
C111;SE CONTROL 48V/60A SN : GP1529;;POOL;AVAILABLE;;
C112;SDC 48V/100A SN : 349357;;POOL;AVAILABLE;;
C113;SDC 48V/100A SN : 349336;;POOL;AVAILABLE;;
C114;SE 48V/100A SN : NX1678;;Bekaert;SPARE;;
C115;BAST 48V 100A SN : BE4810000413;;LG Cibitung;SPARE;;
C116;BAST 48V/100A SN : BS4810000397;;POOL;AVAILABLE;;
C117;SE 48V 180A SN : AF0715;2553;POOL (POS 2);TERPASANG;;
C118;SE CONTROL 48V-100A SN : GC2071;;POOL;AVAILABLE;;
C119;RG-T 36V 180A SN : 175019;;POOL (POS 2);AVAILABLE;;
C120;SE Control 48V 100A SN : SL0061;;POOL (POS 2);AVAILABLE;;
C121;SE Control 48V 100A SN : IH1519;;LG Cibitung;SPARE;;
C122;SE Control 48V 100A;1258;LDC Upa Karawang;TERPASANG;;
C123;MICRO POWER 24V 60A SN : B23650B190532271016;;Bekaert;SPARE;;
C124;SE 48V 80A SN : GC2034;;Unilever Bango Subang;SPARE;;
C125;RG-T 48V 60A SN : 177858;;POOL (POS 2);AVAILABLE;;
C126;YALE MICOM 48V/100A SN : -;;POOL;AVAILABLE;;
C127;YALE 48V/100A;1500;ILC Logistik - karawang Barat (OS);TERPASANG;;
C128;STILL 24V 60A SN : 627000008561;;POOL;AVAILABLE;;
C129;BAST RG 72V 100AH;;POOL;AVAILABLE;;
C130;48V-100A;;POOL;AVAILABLE;;
C131;SDC ECO 48V 100AH SN : 340883;;POOL;AVAILABLE;;
C132;ASIA RG-T 72V-80A SN : 185784;;POOL;AVAILABLE;;
C133;SE CONTROL 48V 80A SN : GC2037;;POOL;AVAILABLE;;
C134;BPI 48V;;POOL;AVAILABLE;;
C135;BPI 48V 100A SN : 11006830;;POOL;AVAILABLE;;
C136;BPI 48V SN : S13006911;;Nissin Jaya Indonesia - Battery;SPARE;;
C137;BPI DX 48V 80 Ah SN : S13006910;;POOL;AVAILABLE;;
C138;YALE 48V/100A SN : - ;;POOL;AVAILABLE;;
C139;RG-T 48V 100A SN : 181216;;POOL (POS 2) - Kabel dpakai ke LG Tangerang;AVAILABLE;;
C140;SDC ECO 48-100 SN: 337431;;POOL;AVAILABLE;;
C141;SDC ECO 48-100 SN: 337436;;POOL;AVAILABLE;;
C142;SDC ECO 48V-100Ah SN: 340887;;POOL;AVAILABLE;;
C143;SDC ECO 48-100 SN: 337434;;Indofood BIC;SPARE;;
C144;SE 48V 100A SN : IH1521;;POOL;AVAILABLE;;
C145;SDC ECO 48V 100A SN : 340874;;POOL;AVAILABLE;;
C146;TYPE: E24V-30A SN: 396551702389;;POOL;AVAILABLE;;
C147;TYPE: E24V-30A SN: 396661702278;;POOL;AVAILABLE;;
C148;BATTERY CHARGER 48V 60A SN : 177858;;POOL;AVAILABLE;;
C149;STILL ELECTRON TYPE: E24V-60A SN: 0627767-0000-010;;POOL;AVAILABLE;;
C150; TYPE: E24V-60A SN: 627000029483;;POOL;AVAILABLE;;
C151;STILL 24V45A SN : -;;POOL;AVAILABLE;;
C152;RG-T 48V 80A SN : 185766;;POOL;AVAILABLE;;
C153;GS YUASA 48V 100A SN : 25850-11901-71-B;;POOL;AVAILABLE;;
C154;ASIA RG-T 48V 60A SN : 177878;2593;Musashi Karawang Timur;TERPASANG;;
C155;YALE 48V 80A SN : 8522359;;POOL;AVAILABLE;;
C156;SDC 48V-100A SN : 349363;;LG Cibitung;SPARE;;
C157;SOOSUNG 48V 201A SN : 26CH-3354201;;POOL;AVAILABLE;;
C158;YALE 48V 100A TY : 8522360;;POOL (POS 2);AVAILABLE;;
C159;GS YUASA 48V 100A SN : 25850-11901-71-A;;POOL;AVAILABLE;;
C160;JUNGHEINRICH 48V 80A SN : 323981708581003;1979;CS 2 Pola Sehat Surabaya;TERPASANG;;
C161;ASIA SE 48V 100A SN : NX1696;;POOL;AVAILABLE;;
C162;STILL 24V;;POOL;AVAILABLE;;
C163;STILL 48V 100A SN : -;;Indofood BIC;SPARE;;
C164;SE 48V 100A SN : SL0055;;POOL;AVAILABLE;;
C165;SLT100 24V 70 Ah SN : 93791378;;POOL (POS 2);AVAILABLE;;
C166;SE CONTROL  48V/100A SN : GC2097;;POOL;AVAILABLE;;
C167;BAS 48V 100A SN : 181017022;1426;Nissin Jaya Indonesia - Battery;TERPASANG;;
C168;BAST 48V 100 A sn : 17768;;POOL;AVAILABLE;;
C169;SDC ECO 48V-100A;;POOL;AVAILABLE;;
C170;ECOTRON XMP 24V 30A SN : 21082-D984922001;;POOL;AVAILABLE;;
C171;ECOTRON STILL 48V-100A SN : 0447431-0010-001;1777;Kohler Manufacturing Indonesia;TERPASANG;;
C172;easycon plus II SN : 396851702453002;;POOL (POS 2);AVAILABLE;;
C173;YALE 48V 100A SN : -;;Asahimas Cikampek ;SPARE;;
C174;HANGCHA 48V 100A SN : 5984L48;;POOL;AVAILABLE;;
C175;EASYCON 24V 40A SN : 33546171122500210002;;POOL;AVAILABLE;;
C176;DX 48V 80A SN : S13006913;;POOL;AVAILABLE;;
C177;JUNGHEINRICH 24V 70A SN : 93784975;;Bekaert;SPARE;;
C178;TYPE: S63-69.80JBY-2 SN : 25840-13401-71A ;;POOL;AVAILABLE;;
C179;ECOTRON XM SN : 0421793-0010-001;;POOL;AVAILABLE;;
C180;ECOTRON XM 48V SN: 0421817-0010-001;;POOL;AVAILABLE;;
C181;TYPE: DX48/100A SN:S13005725 (48V);;POOL;AVAILABLE;;
C182;RG-T 48V 80A SN : 207849;;POOL;AVAILABLE;;
C183;STILL ECOTRON.XM 48V 100A SN:0444380-0010-001;;POOL;AVAILABLE;;
C184;STILL ECOTRON.XM 48V 100A SN: 0468402-0010-001;;POOL;AVAILABLE;;
C185;STILL GX-X SN : 612201600026;;POOL;AVAILABLE;;
C186;TYPE: 36,3-6960-JBY-2 SN : 25850-1190-171-A;;POOL;AVAILABLE;;
C187;STILL ECOTRON XM SN: 0444369-0010-001 48V-125A;;POOL;AVAILABLE;;
C188;ECOTRON 24V 60A SN : 0627767-0000-008;;POOL;AVAILABLE;;
C189;GS SC3-69 100JBY2 SN:25850-13401-11;;POOL;AVAILABLE;;
C190;RG-T 48V/100AH NO:181173;;POOL;AVAILABLE;;
C191;CHARGER BASS 48V 100A Sn : MAA3F19011057;;POOL (POS 5) ;AVAILABLE;08/01/2020;
C192; LINDE D48V-100AH SN:200304785;;POOL;AVAILABLE;;
C193;AUTOMATIC TYPE: 8522360 INPUT3PK.340/460V 50/60H2 8.1KVA12A ;;POOL;AVAILABLE;;
C194;48V SN : 465825;;POOL;AVAILABLE;;
C195;BAS STR48V-100A SN: B54810000396;;POOL;AVAILABLE;;
C196;AUTOMATIC TYPE : 8522360 ;;POOL;AVAILABLE;;
C197;BAS EVO48V-100A SN:BE4810000412;;POOL;AVAILABLE;;
C198;BAS EVO 48V-100A SN: BE4810000403;;POOL;AVAILABLE;;
C199;STILL ECOTRON 24V-30A;;POOL;AVAILABLE;;
C200;SE 48V 100A SN : SL0054;;Unilever Bango Subang;SPARE;;
C201;RG-T 36-140 36V-140AH , SN: 194466;;POOL;AVAILABLE;;
C202;RG 48-100 SN:177777;;POOL;AVAILABLE;;
C203;GS YUASA TYPE: SG3-69-115JBY-2 SN : 2580-1190-71-A;;POOL;AVAILABLE;;
C204;ASIA SE 48V 60A SN : AF0687;;POOL;AVAILABLE;;
C205;ENERPULSE 24V 80A SN : PM0595;;Bekaert;SPARE;;
C206;BAS EVG 48-120A SN: BE4812000 295;;POOL;AVAILABLE;;
C206;RG 48V-100 SN: 194569;;POOL (POS 5) ;AVAILABLE;;
C207;SDC 48V 100A SN : 181017001;;POOL (POS 2);AVAILABLE;;
C208;STILL ELEKTRON 80V 125 A SN : 636000009391;2360;OKI PALEMBANG;TERPASANG;;
C209;RG-T 48V 100A SN : 177773;;POOL;AVAILABLE;;
C210;SUMITOMO 48V 100A SN : - ;;POOL;AVAILABLE;;
C211;AUTOMATIC YALE 48V 100AH SN : - TYPE 8522360;1633;Pantos Cibitung (Daiwa) - Gudang 1;TERPASANG;;
C212; Charger T8 48V 100A SN : 200670;;INDOFOOD BIC;SPARE;;
C213;JUNGHEINRICH 48V 80A SN : 3018219030510002;;POOL;AVAILABLE;;
C214;SE 48V 100A SN : NX1686;;Pantos Cakung;SPARE;;
C215;ECOTRON 80V 170A SN : 0440018-0010-001;;POOL;AVAILABLE;;
C216;48V - T 277 TY:SG3-69-60JBT-2 SN: 55080C;;POOL;AVAILABLE;;01/09/2022
C217;BAS 48V 100A SN : 181017033;;POOL;AVAILABLE;;
C218;JUNGHEINRICH 48V 80A SN : 3018219030510004;; POOL;AVAILABLE;;
C219;SR3 SUMITOMO;;POOL;AVAILABLE;;
C220;SR3 SUMITOMO;1437;Indofood Asahi Curug Battery;TERPASANG;;
C221;BAST RG-T 48V-100A;;POOL;AVAILABLE;;
C222;BAST RG-T 48V-100A;;POOL;AVAILABLE;;
C223;YALE AUTOMATIC 50-62V 60-21A TYPE: 8522358 ;;LDC Upa Karawang;SPARE;;
C224;SDC ECO 48V 100A SN : 340876;;Pantos Cakung CSKD;SPARE;;
C225;BAS EVO 36V 140A SN : BE3614000333;;POOL;AVAILABLE;;
C226;SOOSUNG 48V SN : 24CH375457;;POOL;AVAILABLE;;
C227;RG-T 48V 60A SN : 177880;;POOL;AVAILABLE;;
C228;STILL ELEKTRON 80V 125 A SN : 636000009390;2361;Oki Palembang;TERPASANG;;
C229;AUTOMATIC CHARGER SN: 25530-40590-71;;POOL;AVAILABLE;;
C230;STILL ECOTRON 80V 125A SN : 636000009184;;POOL;AVAILABLE;;
C231;SE 48V 100A SN : NX1691;;POOL;AVAILABLE;;
C232;SCRAB;;SCRAB;SPARE;;
C233;BAST SN: 207926;;POOL;AVAILABLE;;
C234;YALE 48V 100A SN : 497881;;POOL;AVAILABLE;;
C235;SE SN: NX-1693;;POOL;AVAILABLE;;
C236;JUNG 48V 80A SN : 325141709109004;1979 S;CS 2 Pola Sehat Pasuruan Surabaya;TERPASANG;;
C237;SE 48V 100A SN: NX-1684;;POOL (POS 2);AVAILABLE;;
C238;RG-T 48V 100A SN:177754;;POOL;AVAILABLE;;
C239;BPI 48V 100A SN : S13011192;;POOL;AVAILABLE;;
C239;SE 48V 100A SN : SL0052;;POOL;AVAILABLE;;
C240;BAST RG-T 48V 100A SN: 177794;;POOL;AVAILABLE;;
C240;BAST RG-T 48V 100A SN: 177769;;POOL;AVAILABLE;;
C241;SE 48V 100A SN: NX1694;3511;Indo Bharat Rayon (IBR) Purwakarta;TERPASANG;;24/06/2023
C242;BAST SN: 177757;;Musashi Karawang;SPARE;;
C242;BAST 48V 100A SN:177798;;ILC Logos Deltamas;SPARE;;
C243;BAST RG-T 48V 100A SN: 177770;;Pantos Cakung;SPARE;;
C244;BAST RGT 48V 100A SN: 177820;;POOL;AVAILABLE;;
C245;BAST RG-T 48V 100A SN:177836;;POOL;AVAILABLE;;
C246;SE 48V 100A SN: NX1677;;Supernova JB 2;SPARE;19/05/1900;
C247;SE 48V 100A SN: NX-1682;;POOL;AVAILABLE;;
C248;EXPERT SN: 11-G-1486;;POOL;AVAILABLE;;
C249;EXPERT SN: 11-G-1276;;POOL;AVAILABLE;;
C250;YALE 48V  SN : 497879;;Supernova JB 6;SPARE;;
C251;BAST 48V 100A SN: 177772;1259;Pantos Delta V;TERPASANG;;
C252;BAST SN: 194499;;POOL;AVAILABLE;;
C253;SDC ECO 80V 80A SN : 351425;;POOL;AVAILABLE;;
C254;CE RG-T 48V-100AH SN: 207912;1939;POOL (POS 2);TERPASANG;;
C255;CE 48V/80A SN: 3836718110088002;;POOL;AVAILABLE;;
C256;CE 48V/80A SN: 3836718110088001;;POOL;AVAILABLE;;
C257;SE 48V 60A SN : GT1242;;POOL (POS 2);AVAILABLE;;
C258;SE CONTROL 48V 80A SN : NX1633;;POOL;AVAILABLE;;
C259;BAS 48V 80A SN : 390782;;POOL;AVAILABLE;;
C260;BAS 48V 80A SN : 390749;2322;Surya Renggo Karawang;TERPASANG;;
C261;BAS 48V 80A SN : 390750;1214;LG Cibitung;TERPASANG;;
C262;BAS 48V 80A SN : 390751;;POOL;AVAILABLE;;
C263;BAS 48V 80A SN : 390752;;POOL (POS 2);AVAILABLE;;
C264;BAS 48V 80A SN : 390747;;POOL;AVAILABLE;;
C265;BAS 48V 80A SN : 390748;;POOL;AVAILABLE;;
C266;BAS 48V 80A SN : 390790;;POOL;AVAILABLE;;
C267;CHARGER AUTOMATIC CHARGER 340/460V 50/60Hz SN: 8522360;;POOL (POS 2);AVAILABLE;;
C268;RG-T 48V 80A SN : 138108;826;Pantos Cibitung (Daiwa) - Gudang 2 - LX;TERPASANG;;
C269;CHARGER 48V/100T SN: 181017035;;POOL;AVAILABLE;;
