MARKETING;Customer;Lokasi;No Unit;Year;Merk;Model;DEPARTEMEN;Seri Number;Kapasitas;ATTACHEMANT;No PO;KONTRAK;AWAL KONTRAK;AKHIR KONTRAK;Harga/Unit
TATA;PT. Asahimas Flat Glass Tbk;Lok. Depo Ancol;2611;2019;CAT;DP25ND;DIESEL;CT18C-86978;;;;10/PURCH/SPK-AGGD/XII/25;01/01/2026;30/06/2026;Rp7.150.000,00
TATA;PT. Asahimas Flat Glass Tbk;Lok. Depo Ancol;2612;2019;CAT;DP25ND;DIESEL;CT18C-86979;;;;10/PURCH/SPK-AGGD/XII/25;01/01/2026;30/06/2026;Rp7.150.000,00
TATA;PT. Asahimas Flat Glass Tbk;Lok. Prod A;2827;2020;HYUNDAI;25BR-9;ELECTRIC;HHKHFS06CL0000450;;;;10/PURCH/SPK-AGGD/XII/25;01/01/2026;30/06/2026;Rp10.400.000,00
TATA;PT. Asahimas Flat Glass Tbk;Lok. Prod A;2550;2019;CAT;DP25ND;DIESEL;CT18C-86949;;;;10/PURCH/SPK-AGGD/XII/25;01/01/2026;30/06/2026;Rp7.150.000,00
TATA;PT. Asahimas Flat Glass Tbk;Lok. Prod B;2262;2018;Yale;FB25RZ;ELECTRIC;C881R01896S;;;;10/PURCH/SPK-AGGD/XII/25;01/01/2026;30/06/2026;Rp9.900.000,00
TATA;PT. Asahimas Flat Glass Tbk;Lok. Prod B;2549;2019;CAT;DP25ND;DIESEL;CT18C-86948;;;;10/PURCH/SPK-AGGD/XII/25;01/01/2026;30/06/2026;Rp7.150.000,00
TATA;PT. Asahimas Flat Glass Tbk;Lok, Prod C;2613;2019;CAT;DP25ND;DIESEL;CT18C-86980;;;;10/PURCH/SPK-AGGD/XII/25;01/01/2026;30/06/2026;Rp7.150.000,00
TATA;PT. Asahimas Flat Glass Tbk;Lok. Logistic;2614;2019;CAT;DP25ND;DIESEL;CT18C-86984;;;;10/PURCH/SPK-AGGD/XII/25;01/01/2026;30/06/2026;Rp7.150.000,00
TATA;PT. Asahimas Flat Glass Tbk;Lok. Logistic;3035;2022;CAT;DP25ND;DIESEL;CT18C-87937;;;;10/PURCH/SPK-AGGD/XII/25;01/01/2026;30/06/2026;Rp7.150.000,00
TATA;PT. Asahimas Flat Glass Tbk;Lok. Logistic;3729;2023;HELI;CPCD25-M1K2;DIESEL;CT18C-86947;;;;10/PURCH/SPK-AGGD/XII/25;01/01/2026;30/06/2026;Rp7.150.000,00
TATA;PT. Asahimas Flat Glass Tbk;Lok. Planning;2547;2019;CAT;DP25ND;DIESEL;CT18C-86946;;;;10/PURCH/SPK-AGGD/XII/25;01/01/2026;30/06/2026;Rp7.150.000,00
TATA;PT. Asahimas Flat Glass Tbk;Lok. Planning;2651;2019;TOYOTA;72-8FDJ35;DIESEL;70FDJ35-63804;;;;10/PURCH/SPK-AGGD/XII/25;01/01/2026;30/06/2026;Rp8.750.000,00
TATA;PT. Asahimas Flat Glass Tbk;Lok. Depo Ancol;2766;2020;CAT;DP25ND;DIESEL;CT18C-87303;;;;148/SML/X/2019 Addendum I;06/10/2021;05/10/2026;Rp7.150.000,00
TATA;PT. Asahimas Flat Glass Tbk;Lok. Depo Sunter;3059;2021;TOYOTA;8FBN25;ELECTRIC;8FBN25-37849;;;;148/SML/X/2019 Addendum I;14/10/2022;13/10/2027;Rp11.000.000,00
