id_inventory_attachment;tipe_item;no_item;po_id;id_inventory_unit;attachment_id;sn_attachment;baterai_id;sn_baterai;charger_id;sn_charger;kondisi_fisik;kelengkapan;catatan_fisik;lokasi_penyimpanan;attachment_status;tanggal_masuk;catatan_inventory;created_at;updated_at
;attachment;ATT0001;;6265;34;ID-22I-0277;;;;;Baik;Lengkap;;ASPEK KUMBONG;IN_USE;28/09/2022;;;
;attachment;ATT0002;;6242;34;ID-22I-0275;;;;;Baik;Lengkap;;OJI SINARMAS;IN_USE;28/09/2022;;;
;attachment;ATT0003;;6216;34;ID-22I-0270;;;;;Baik;Lengkap;;PAJAR PAPER;IN_USE;28/09/2022;;;
;attachment;ATT0004;;5378;34;ID-22I-0274;;;;;Baik;Lengkap;;ILC KARAWANG;IN_USE;28/09/2022;;;
;attachment;ATT0005;;6287;34;ID-22I-0276;;;;;Baik;Lengkap;;IKPP PERAWANG;IN_USE;28/09/2022;;;
;attachment;ATT0006;;;34;ID-22J-0282;;;;;Baik;Lengkap;;IKPP PERAWANG;SPARE;18/10/2022;;;
;attachment;ATT0007;;;34;ID-22J-0279;;;;;Baik;Lengkap;;IKPP PERAWANG;SPARE;18/10/2022;;;
;attachment;ATT0008;;6024;34;ID-22I-0272;;;;;Baik;Lengkap;;MY PACK;IN_USE;28/09/2022;;;
;attachment;ATT0009;;6329;34;ID-22I-0273;;;;;Baik;Lengkap;;OJI SINARMAS;IN_USE;28/09/2022;;;
;attachment;ATT0010;;6348;34;ID-22J-0283;;;;;Baik;Lengkap;;IKPP PERAWANG;IN_USE;18/10/2022;;;
;attachment;ATT0011;;;38;22-10-13437;;;;;Baik;Lengkap;;IKPP PERAWANG/TANPA UNIT;SPARE;03/12/2022;;;
;attachment;ATT0012;;;38;22-09-12184;;;;;Baik;Lengkap;;IKPP PERAWANG/TANPA UNIT;SPARE;03/12/2022;;;
;attachment;ATT0013;;;38;22-09-12185;;;;;Baik;Lengkap;;IKPP PERAWANG/TANPA UNIT;SPARE;03/12/2022;;;
;attachment;ATT0014;;;38;22-09-12189;;;;;Baik;Lengkap;;IKPP PERAWANG/TANPA UNIT;SPARE;03/12/2022;;;
;attachment;ATT0015;;;38;22-09-12190;;;;;Baik;Lengkap;;IKPP PERAWANG/TANPA UNIT;SPARE;03/12/2022;;;
;attachment;ATT0016;;;38;22-10-13436;;;;;Baik;Lengkap;;IKPP PERAWANG/TANPA UNIT;SPARE;03/12/2022;;;
;attachment;ATT0017;;;38;22-09-12192;;;;;Baik;Lengkap;;IKPP PERAWANG/TANPA UNIT;SPARE;03/12/2022;;;
