id_inventory_attachment;tipe_item;no_item;po_id;id_inventory_unit;attachment_id;sn_attachment;baterai_id;sn_baterai;charger_id;sn_charger;kondisi_fisik;kelengkapan;catatan_fisik;lokasi_penyimpanan;attachment_status;tanggal_masuk;catatan_inventory;created_at;updated_at
;battery;B0001;;5589;;;15;04S16011;;;Baik;Lengkap;Remico 48V-4EPzDR-04S16011;YCH Deltamas;IN_USE;16-Aug-20;;;
;battery;B0002;;;;;15;SMD14R10049;;;Baik;Lengkap;REMICO-3EPzDR500-SMD14R10049;POOL;AVAILABLE;;;;
;battery;B0003;;;;;25;22096;;;Baik;Lengkap;TAB 48V 620Ah-24/7ZB620E-22096;POOL;AVAILABLE;;;;
;battery;B0004;;;;;;-;;;Baik;Lengkap;-----;POOL;AVAILABLE;;;;
;battery;B0005;;;;;25;-;;;Baik;Lengkap;TAB 48V 600 Ah----;Bekaert;SPARE;;;;
;battery;B0006;;;;;80;80876013;;;Baik;Lengkap;JUNGHEINRICH 48V 620Ah-4PZs620-80876013;POOL;AVAILABLE;;;;
;battery;B0007;;;;;15;SMD113294;;;Baik;Lengkap;REMICO---SMD113294;POOL;AVAILABLE;;;;
;battery;B0008;;;;;25;SMD13R04114;;;Baik;Lengkap;TAB 48V 600 Ah---SMD13R04114;POOL;AVAILABLE;;;;
;battery;B0009;;;;;41;-;;;Baik;Lengkap;KOBE 48 V 560 Ah----;LG Cibitung;SPARE;;;;
;battery;B0010;;;;;25;-;;;Baik;Lengkap;TAB 48V 600AH----;POOL;AVAILABLE;;;;
;battery;B0011;;;;;61;107044;;;Baik;Lengkap;HAWKER 48V 560A-4PZS560-107044;POOL;AVAILABLE;;;;
;battery;B0012;;;;;25;18938;;;Baik;Lengkap;TAB 48V-24/7PZB602E-18938;POOL;AVAILABLE;;;;
;battery;B0013;;;;;15;1050316;;;Baik;Lengkap;REMICO---1050316;POOL;AVAILABLE;;;;
;battery;B0014;;;;;25;100590835;;;Baik;Lengkap;TAB 48V 620Ah---100590835;POOL;AVAILABLE;;;;
