id_inventory_attachment;tipe_item;no_item;po_id;id_inventory_unit;attachment_id;sn_attachment;baterai_id;sn_baterai;charger_id;sn_charger;kondisi_fisik;kelengkapan;catatan_fisik;lokasi_penyimpanan;attachment_status;tanggal_masuk;catatan_inventory;created_at;updated_at;
;charger;C0001;;;;;;;55;;Baik;Lengkap;48V 100A;POOL;AVAILABLE;;;;;"INSERT INTO inventory_attachment (tipe_item, no_item, po_id, id_inventory_unit, attachment_id, sn_attachment, baterai_id, sn_baterai, charger_id, sn_charger, kondisi_fisik, kelengkapan, catatan_fisik, lokasi_penyimpanan, attachment_status, catatan_inventory, created_at) VALUES ('battery', '', 1, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 'Baik', 'Lengkap', 'C0001', '', 'IN_USE', 'Ex-Pusat: charger', NOW());"
;charger;C0002;;;;;;;7;;Baik;Lengkap;BAST 48V 100A;POOL;AVAILABLE;;;;;"INSERT INTO inventory_attachment (tipe_item, no_item, po_id, id_inventory_unit, attachment_id, sn_attachment, baterai_id, sn_baterai, charger_id, sn_charger, kondisi_fisik, kelengkapan, catatan_fisik, lokasi_penyimpanan, attachment_status, catatan_inventory, created_at) VALUES ('battery', '', 1, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 'Baik', 'Lengkap', 'C0002', '', 'IN_USE', 'Ex-Pusat: charger', NOW());"
;charger;C0003;;;;;;;7;;Baik;Lengkap;BAST 48V 100A;POOL;AVAILABLE;;;;;"INSERT INTO inventory_attachment (tipe_item, no_item, po_id, id_inventory_unit, attachment_id, sn_attachment, baterai_id, sn_baterai, charger_id, sn_charger, kondisi_fisik, kelengkapan, catatan_fisik, lokasi_penyimpanan, attachment_status, catatan_inventory, created_at) VALUES ('battery', '', 1, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 'Baik', 'Lengkap', 'C0003', '', 'IN_USE', 'Ex-Pusat: charger', NOW());"
;charger;C0004;;;;;;;55;;Baik;Lengkap;RG;POS 2;AVAILABLE;;;;;"INSERT INTO inventory_attachment (tipe_item, no_item, po_id, id_inventory_unit, attachment_id, sn_attachment, baterai_id, sn_baterai, charger_id, sn_charger, kondisi_fisik, kelengkapan, catatan_fisik, lokasi_penyimpanan, attachment_status, catatan_inventory, created_at) VALUES ('battery', '', 1, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 'Baik', 'Lengkap', 'C0004', '', 'IN_USE', 'Ex-Pusat: charger', NOW());"
;charger;C0005;;;;;;;55;3139219060464006;Baik;Lengkap;EASYCON PLUS 36V 125A SN : 3139219060464006;POS 2;AVAILABLE;;;;;"INSERT INTO inventory_attachment (tipe_item, no_item, po_id, id_inventory_unit, attachment_id, sn_attachment, baterai_id, sn_baterai, charger_id, sn_charger, kondisi_fisik, kelengkapan, catatan_fisik, lokasi_penyimpanan, attachment_status, catatan_inventory, created_at) VALUES ('battery', '', 1, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 'Baik', 'Lengkap', 'C0005', '', 'IN_USE', 'Ex-Pusat: charger', NOW());"
;charger;C0006;;1393;;;;;55;;Baik;Lengkap;BPI 48V 100A;Unilever Bango Subang;IN_USE;;;;;"INSERT INTO inventory_attachment (tipe_item, no_item, po_id, id_inventory_unit, attachment_id, sn_attachment, baterai_id, sn_baterai, charger_id, sn_charger, kondisi_fisik, kelengkapan, catatan_fisik, lokasi_penyimpanan, attachment_status, catatan_inventory, created_at) VALUES ('battery', '', 1, (SELECT id_inventory_unit FROM inventory_unit WHERE no_unit = '1393' LIMIT 1), NULL, NULL, NULL, NULL, NULL, NULL, 'Baik', 'Lengkap', 'C0006', '', 'IN_USE', 'Ex-Pusat: charger', NOW());"
;charger;C0007;;1432;;;;;55;;Baik;Lengkap;BPI 48V 100A;Unilever Bango Subang;IN_USE;;;;;"INSERT INTO inventory_attachment (tipe_item, no_item, po_id, id_inventory_unit, attachment_id, sn_attachment, baterai_id, sn_baterai, charger_id, sn_charger, kondisi_fisik, kelengkapan, catatan_fisik, lokasi_penyimpanan, attachment_status, catatan_inventory, created_at) VALUES ('battery', '', 1, (SELECT id_inventory_unit FROM inventory_unit WHERE no_unit = '1432' LIMIT 1), NULL, NULL, NULL, NULL, NULL, NULL, 'Baik', 'Lengkap', 'C0007', '', 'IN_USE', 'Ex-Pusat: charger', NOW());"
;charger;C0008;;;;;;;55;375982;Baik;Lengkap;SDC 80V 80A SN : 375982;LG Tangerang;SPARE;;;;;"INSERT INTO inventory_attachment (tipe_item, no_item, po_id, id_inventory_unit, attachment_id, sn_attachment, baterai_id, sn_baterai, charger_id, sn_charger, kondisi_fisik, kelengkapan, catatan_fisik, lokasi_penyimpanan, attachment_status, catatan_inventory, created_at) VALUES ('battery', '', 1, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 'Baik', 'Lengkap', 'C0008', '', 'IN_USE', 'Ex-Pusat: charger', NOW());"
;charger;C0009;;;;;;;55;20200102008;Baik;Lengkap;ADY 6101 SN : 20200102008;POOL;AVAILABLE;;;;;"INSERT INTO inventory_attachment (tipe_item, no_item, po_id, id_inventory_unit, attachment_id, sn_attachment, baterai_id, sn_baterai, charger_id, sn_charger, kondisi_fisik, kelengkapan, catatan_fisik, lokasi_penyimpanan, attachment_status, catatan_inventory, created_at) VALUES ('battery', '', 1, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 'Baik', 'Lengkap', 'C0009', '', 'IN_USE', 'Ex-Pusat: charger', NOW());"
;charger;C0010;;;;;;;39;478722;Baik;Lengkap;YALE 48V 100A SN : 478722;POOL;AVAILABLE;;;;;"INSERT INTO inventory_attachment (tipe_item, no_item, po_id, id_inventory_unit, attachment_id, sn_attachment, baterai_id, sn_baterai, charger_id, sn_charger, kondisi_fisik, kelengkapan, catatan_fisik, lokasi_penyimpanan, attachment_status, catatan_inventory, created_at) VALUES ('battery', '', 1, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 'Baik', 'Lengkap', 'C0010', '', 'IN_USE', 'Ex-Pusat: charger', NOW());"
;charger;C0011;;;;;;;39;8522360;Baik;Lengkap;YALE 48V 100A Type : 8522360;Unilever Bango Subang;SPARE;;;;;"INSERT INTO inventory_attachment (tipe_item, no_item, po_id, id_inventory_unit, attachment_id, sn_attachment, baterai_id, sn_baterai, charger_id, sn_charger, kondisi_fisik, kelengkapan, catatan_fisik, lokasi_penyimpanan, attachment_status, catatan_inventory, created_at) VALUES ('battery', '', 1, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 'Baik', 'Lengkap', 'C0011', '', 'IN_USE', 'Ex-Pusat: charger', NOW());"
