id_inventory_unit;no_unit;no_unit_na;serial_number;id_po;tahun_unit;status_unit_id;lokasi_unit;departemen_id;tanggal_kirim;keterangan;harga_sewa_bulanan;rate_changed_at;harga_sewa_harian;kontrak_id;on_hire_date;off_hire_date;customer_id;customer_location_id;area_id;tipe_unit_id;model_unit_id;kapasitas_unit_id;model_mast_id;tinggi_mast;sn_mast;model_mesin_id;sn_mesin;roda_id;ban_id;valve_id;created_at;updated_at;aksesoris;spk_id;delivery_instruction_id;di_workflow_id;workflow_status;hour_meter;contract_disconnect_date;contract_disconnect_stage;is_temporary_assignment;maintenance_location;temporary_for_contract_id;expected_return_date;asset_tag;acquisition_cost;depreciation_method;useful_life_years;salvage_value;fuel_type;ownership_status;warehouse_location_id
1;1;NULL;HF 19A-00050;NULL;1994;13;BP. IQBAL (DIJUAL 14.11.12);1;NULL;ENGINE S4S LOAD CENTRE 500mm 4 CYLINDERS, PNEUMATIC TIRE TRANSMISSION POWERSHIFT, POWER OUTPUT 2300-2450 RPM;NULL;NULL;NULL;#N/A;NULL;NULL;#N/A;#N/A;#N/A;6;5;26;NULL;NULL;NULL;4;-;NULL;2;NULL;17/02/2026 23:02;NULL;{};NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;STRAIGHT_LINE;NULL;NULL;NULL;OWNED;NULL
2;2;NULL;HF 19A-00071;NULL;1994;13;BP. IQBAL (DIJUAL 14.11.12);1;NULL;ENGINE S4S LOAD CENTRE 500mm 4 CYLINDERS, PNEUMATIC TIRE TRANSMISSION POWERSHIFT, POWER OUTPUT 2300-2450 RPM;Rp6,043,733;18/02/2026 21:16;NULL;#N/A;NULL;NULL;#N/A;#N/A;#N/A;6;5;26;NULL;NULL;NULL;4;-;NULL;2;NULL;17/02/2026 23:02;18/02/2026 21:16;{};NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;STRAIGHT_LINE;NULL;NULL;NULL;OWNED;NULL
3;3;NULL;SN 60038;NULL;2004;1;WORKSHOP HIDUP DIESEL;1;NULL;DIMENSSION OVERALL LENGTH 7695 mm, 7910 mm, 7815 mm, RATED OUTPUT 2200Rpm;Rp3,170,000;18/02/2026 21:16;NULL;#N/A;NULL;NULL;#N/A;#N/A;#N/A;6;0;26;NULL;NULL;NULL;NULL;-;NULL;NULL;NULL;17/02/2026 23:02;18/02/2026 21:16;{};NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;STRAIGHT_LINE;NULL;NULL;NULL;OWNED;NULL
4;4;NULL;412964;NULL;1995;1;WORKSHOP HIDUP DIESEL;1;NULL;LOAD CENTER 500mm, ENGINE ISUZU C240, MANUAL TRANSMISSION, PNEUMATIC TIRES.;NULL;NULL;NULL;#N/A;NULL;NULL;#N/A;#N/A;#N/A;6;0;22;NULL;NULL;NULL;9;-;NULL;2;NULL;17/02/2026 23:02;NULL;{};NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;STRAIGHT_LINE;NULL;NULL;NULL;OWNED;NULL
5;5;NULL;CMP570D-0188 E9590KF;NULL;2005;13;WORKSHOP HIDUP DIESEL JUAL (*);1;NULL;LOAD CENTER 500mm, POWER DIESEL ENGINE COMMON, ENGINE POWER 60Kw, MAST DUPLEX 2 STAGE 3,5M, LIFT HEIGHT 3500mm - 4000mm, SOLID TIRES.;NULL;NULL;NULL;#N/A;NULL;NULL;#N/A;#N/A;#N/A;6;0;30;NULL;NULL;NULL;NULL;-;NULL;1;NULL;17/02/2026 23:02;NULL;{};NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;STRAIGHT_LINE;NULL;NULL;NULL;OWNED;NULL
6;6;NULL;HF28-50045;NULL;1998;13;WORKSHOP HIDUP DIESEL JUAL (*);1;NULL;ENGINE MITSUBISHI S6S, LOAD CENTER 500mm-600mm, LIFT HEIGHT 3000MM, PNEUMATIC TIRES, TRANSMISSION POWERSHIFT, TRAVEL SPEED 21-22Km/h;NULL;NULL;NULL;#N/A;NULL;NULL;#N/A;#N/A;#N/A;6;8;30;NULL;NULL;NULL;5;-;NULL;2;NULL;17/02/2026 23:02;NULL;"{""speed_limiter"": true}";NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;STRAIGHT_LINE;NULL;NULL;NULL;OWNED;NULL
7;7;NULL;NULL;NULL;1995;1;WORKSHOP HIDUP DIESEL;1;NULL;ENGINE TOYOTA 11Z, AUTOMATIC TRANSMISSION, SOLID TIRES, MAST LIFT HEIGHT 4,3M-5,5M, ATTACHMENT WITH SIDESHIF;NULL;NULL;NULL;#N/A;NULL;NULL;#N/A;#N/A;#N/A;6;5;26;NULL;NULL;NULL;18;-;NULL;1;NULL;17/02/2026 23:02;NULL;{};NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;STRAIGHT_LINE;NULL;NULL;NULL;OWNED;NULL
8;8;NULL;540410;NULL;1995;13;BP. IQBAL( DIJUAL 5.06.12);1;NULL;LOAD CENTER 500mm, ENGINE KOMATSU 4D94E, ENGINE POWER 48kW (64Hp), TRANSMISSION TORQUE CONVERTER;NULL;NULL;NULL;#N/A;NULL;NULL;#N/A;#N/A;#N/A;6;130;22;NULL;NULL;NULL;NULL;-;NULL;2;NULL;17/02/2026 23:02;NULL;{};NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;STRAIGHT_LINE;NULL;NULL;NULL;OWNED;NULL
9;9;NULL;567241;NULL;1995;13;POS 2 (31-12-2024);1;NULL;LOAD CENTER 500mm, ENGINE KOMATSU 4D94E, ENGINE POWER 48kW (64Hp), TRANSMISSION TORQUE CONVERTER;NULL;NULL;NULL;#N/A;NULL;NULL;#N/A;#N/A;#N/A;6;129;22;NULL;NULL;NULL;NULL;-;NULL;2;NULL;17/02/2026 23:02;NULL;{};NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;STRAIGHT_LINE;NULL;NULL;NULL;OWNED;NULL
10;10;NULL;522436;NULL;1997;13;WORKSHOP HIDUP DIESEL (*);1;NULL;LOAD CENTER 500mm, ENGINE KOMATSU 4D94E, ENGINE POWER 48kW (64Hp), TRANSMISSION TORQUE CONVERTER, MAST TYPE DUPLEX;NULL;NULL;NULL;#N/A;NULL;NULL;#N/A;#N/A;#N/A;6;4;24;NULL;NULL;NULL;NULL;-;NULL;2;NULL;17/02/2026 23:02;NULL;{};NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;STRAIGHT_LINE;NULL;NULL;NULL;OWNED;NULL
