id_inventory_unit;no_unit;no_unit_na;serial_number;id_po;tahun_unit;status_unit_id;lokasi_unit;departemen_id;tanggal_kirim;keterangan;harga_sewa_bulanan;rate_changed_at;harga_sewa_harian;kontrak_id;on_hire_date;off_hire_date;customer_id;customer_location_id;area_id;tipe_unit_id;model_unit_id;kapasitas_unit_id;model_mast_id;tinggi_mast;sn_mast;model_mesin_id;sn_mesin;roda_id;ban_id;valve_id;created_at;updated_at;aksesoris;spk_id;delivery_instruction_id;di_workflow_id;workflow_status;hour_meter;contract_disconnect_date;contract_disconnect_stage;is_temporary_assignment;maintenance_location;temporary_for_contract_id;expected_return_date;;;;;;
;6090;;05030DS7406;;2025;7;KONTRAK KERAMIKA INDONESIA ASSOSIASI GRESIK (26-02-2026);2;;HELI G2 LITHIUM, 3 CV, M300 MAST, LISHEN-80-280Ah, FORK 1220MM, FRONT PNEUMATIC TIRE, REAR SOLID TIRE, ACCESSORIES ROTARY LAMP, USB CHARGER, BACKBUZZER, SAFETYBELT, SPION, LAMPU SOROT.;;;;;;;;;;7;110;24;;;;18;1DZ-0441999;;2;;;;"{""rotary_lamp"": true, ""back_buzzer"": true, ""safety_belt_interlock"": true}";;;;;;;;;;;;;;;;;
;6091;;05025DS7435;;2025;9;ANTAR TRIAL ULTRA JAYA MILK (27-02-2026);2;;HELI G2 LITHIUM, 4 CV, ZSM470 MAST, LISHEN-80-280Ah, PNEUMATIC TIRE, FORK 1820MM, ACCESSORIES ROTARY LAMP, BACKBUZZER, SAFETYBELT, USB CHARGER, SPION, LAMPU SOROT.;;;;;;;;;;7;;22;;;;;;;2;;;;"{""rotary_lamp"": true, ""back_buzzer"": true, ""safety_belt_interlock"": true}";;;;;;;;;;;;;;;;;
;6092;;F5032009;;2025;7;KONTRAK DHL SUPPLY CHAIN MUF (02-03-2026);2;;basic lead cap. at load centre 600mm 2000kg, residual capacity at top beam 1000kg, maximum fork height 11510mm, close mast height 4470mm free lift 3870mm, extended mast height;;;;;;;;;;12;;19;;;;;;;5;;;;{};;;;;;;;;;;;;;;;;
;6093;;05035DS7421;;2025;9;ANTAR TRIAL KOKOH INTI GRESIK (26-02-2026);2;;HELI G2 LITHIUM, 3 CV, M300 MAST, LISHEN-80-404Ah, FORK 1520MM, SOLID TIRE, ACCESSORIES ROTARY LAMP, BACKBUZZER, SAFETYBELT, USB CHARGER, SPION, LAMPU SOROT,;;;;;;;;;;7;;26;;;;;;;1;;;;"{""rotary_lamp"": true, ""back_buzzer"": true, ""safety_belt_interlock"": true}";;;;;;;;;;;;;;;;;
;6094;;;;;3;BY ADM ADI PROJECT PLAN PT. LG LEGOK BANTEN (23-02-2026);2;;;;;;;;;;;;0;;;;;;;;;;;;;{};;;;;;;;;;;;;;;;;
;6095;;;;;3;BY ADM ADI PROJECT PLAN PT. LG LEGOK BANTEN (23-02-2026);2;;;;;;;;;;;;0;;;;;;;;;;;;;{};;;;;;;;;;;;;;;;;
;6096;;;;;3;BY ADM ADI PROJECT PLAN PT. LG LEGOK BANTEN (23-02-2026);2;;;;;;;;;;;;0;;;;;;;;;;;;;{};;;;;;;;;;;;;;;;;
;6097;;;;;3;BY ADM ADI PROJECT PLAN PT. LG LEGOK BANTEN (23-02-2026);2;;;;;;;;;;;;0;;;;;;;;;;;;;{};;;;;;;;;;;;;;;;;
;6098;;;;;3;BY ADM ADI PROJECT PLAN PT. LG LEGOK BANTEN (23-02-2026);2;;;;;;;;;;;;0;;;;;;;;;;;;;{};;;;;;;;;;;;;;;;;
;6099;;;;;3;BY ADM ADI PROJECT PLAN PT. LG LEGOK BANTEN (23-02-2026);2;;;;;;;;;;;;0;;;;;;;;;;;;;{};;;;;;;;;;;;;;;;;
