id;customer_id;parent_contract_id;is_renewal;renewal_generation;renewal_initiated_at;renewal_initiated_by;renewal_completed_at;customer_location_id;no_kontrak;rental_type;customer_po_number;nilai_total;total_units;jenis_sewa;billing_method;tanggal_mulai;tanggal_berakhir;status;dibuat_oleh;dibuat_pada;diperbarui_pada;billing_notes;billing_start_date;fast_track;spot_rental_number;estimated_duration_days;actual_return_date;requires_po_approval;operator_quantity;operator_monthly_rate
11;229;NULL;0;0;NULL;NULL;NULL;363;426/SML/VII/2021;CONTRACT;;7200000;0;BULANAN;CYCLE;13/08/2021;12/08/2023;EXPIRED;NULL;;;NULL;NULL;0;NULL;NULL;NULL;0;0;0
46;60;NULL;0;0;NULL;NULL;NULL;111;819-D-SML-I-2025;CONTRACT;;6750000;0;BULANAN;CYCLE;01/01/2023;31/12/2023;EXPIRED;NULL;;;NULL;NULL;0;NULL;NULL;NULL;0;0;0
47;60;NULL;0;0;NULL;NULL;NULL;111;819-D-SML-I-2025;CONTRACT;;6800000;0;BULANAN;CYCLE;01/01/2023;31/12/2023;EXPIRED;NULL;;;NULL;NULL;0;NULL;NULL;NULL;0;0;0
48;60;NULL;0;0;NULL;NULL;NULL;111;819-D-SML-I-2025;CONTRACT;;7250000;0;BULANAN;CYCLE;01/01/2023;31/12/2023;EXPIRED;NULL;;;NULL;NULL;0;NULL;NULL;NULL;0;0;0
49;60;NULL;0;0;NULL;NULL;NULL;111;819-D-SML-I-2025;CONTRACT;;9100000;0;BULANAN;CYCLE;01/01/2023;31/12/2023;EXPIRED;NULL;;;NULL;NULL;0;NULL;NULL;NULL;0;0;0
118;137;NULL;0;0;NULL;NULL;NULL;230;;PO_ONLY;;15000000;0;BULANAN;CYCLE;01/12/2023;31/12/2023;EXPIRED;NULL;;;NULL;NULL;0;NULL;NULL;NULL;0;0;0
130;137;NULL;0;0;NULL;NULL;NULL;230;;PO_ONLY;;7500000;0;BULANAN;CYCLE;01/02/2024;29/02/2024;EXPIRED;NULL;;;NULL;NULL;0;NULL;NULL;NULL;0;0;0
131;137;NULL;0;0;NULL;NULL;NULL;230;;PO_ONLY;;9300000;0;BULANAN;CYCLE;01/02/2024;29/02/2024;EXPIRED;NULL;;;NULL;NULL;0;NULL;NULL;NULL;0;0;0
132;137;NULL;0;0;NULL;NULL;NULL;230;;PO_ONLY;;9700000;0;BULANAN;CYCLE;01/02/2024;29/02/2024;EXPIRED;NULL;;;NULL;NULL;0;NULL;NULL;NULL;0;0;0
133;126;NULL;0;0;NULL;NULL;NULL;214;;PO_ONLY;;11000000;0;BULANAN;CYCLE;01/02/2024;29/02/2024;EXPIRED;NULL;;;NULL;NULL;0;NULL;NULL;NULL;0;0;0
134;137;NULL;0;0;NULL;NULL;NULL;230;;PO_ONLY;;15000000;0;BULANAN;CYCLE;01/02/2024;29/02/2024;EXPIRED;NULL;;;NULL;NULL;0;NULL;NULL;NULL;0;0;0
110;202;NULL;0;0;NULL;NULL;NULL;321;654/SML/X/2023;CONTRACT;;12500000;0;BULANAN;CYCLE;04/10/2023;03/10/2024;EXPIRED;NULL;;;NULL;NULL;0;NULL;NULL;NULL;0;0;0
128;134;NULL;0;0;NULL;NULL;NULL;227;SLSI0006/01-24/MA0001R;CONTRACT;;22000000;0;BULANAN;CYCLE;26/01/2024;25/01/2025;EXPIRED;NULL;;;NULL;NULL;0;NULL;NULL;NULL;0;0;0
138;202;NULL;0;0;NULL;NULL;NULL;321;692/SML-R/II/2024;CONTRACT;;14000000;0;BULANAN;CYCLE;21/02/2024;20/02/2025;EXPIRED;NULL;;;NULL;NULL;0;NULL;NULL;NULL;0;0;0
353;137;NULL;0;0;NULL;NULL;NULL;231;;PO_ONLY;;6000000;0;BULANAN;CYCLE;01/03/2025;31/03/2025;EXPIRED;NULL;;;NULL;NULL;0;NULL;NULL;NULL;0;0;0
354;137;NULL;0;0;NULL;NULL;NULL;231;;PO_ONLY;;8600000;0;BULANAN;CYCLE;01/03/2025;31/03/2025;EXPIRED;NULL;;;NULL;NULL;0;NULL;NULL;NULL;0;0;0
355;137;NULL;0;0;NULL;NULL;NULL;231;;PO_ONLY;;8750000;0;BULANAN;CYCLE;01/03/2025;31/03/2025;EXPIRED;NULL;;;NULL;NULL;0;NULL;NULL;NULL;0;0;0
356;137;NULL;0;0;NULL;NULL;NULL;232;;PO_ONLY;;9000000;0;BULANAN;CYCLE;01/03/2025;31/03/2025;EXPIRED;NULL;;;NULL;NULL;0;NULL;NULL;NULL;0;0;0
357;137;NULL;0;0;NULL;NULL;NULL;230;;PO_ONLY;;9300000;0;BULANAN;CYCLE;01/03/2025;31/03/2025;EXPIRED;NULL;;;NULL;NULL;0;NULL;NULL;NULL;0;0;0
358;137;NULL;0;0;NULL;NULL;NULL;230;;PO_ONLY;;9400000;0;BULANAN;CYCLE;01/03/2025;31/03/2025;EXPIRED;NULL;;;NULL;NULL;0;NULL;NULL;NULL;0;0;0
359;137;NULL;0;0;NULL;NULL;NULL;231;;PO_ONLY;;9500000;0;BULANAN;CYCLE;01/03/2025;31/03/2025;EXPIRED;NULL;;;NULL;NULL;0;NULL;NULL;NULL;0;0;0
360;137;NULL;0;0;NULL;NULL;NULL;231;;PO_ONLY;;9600000;0;BULANAN;CYCLE;01/03/2025;31/03/2025;EXPIRED;NULL;;;NULL;NULL;0;NULL;NULL;NULL;0;0;0
361;137;NULL;0;0;NULL;NULL;NULL;232;;PO_ONLY;;10500000;0;BULANAN;CYCLE;01/03/2025;31/03/2025;EXPIRED;NULL;;;NULL;NULL;0;NULL;NULL;NULL;0;0;0
362;137;NULL;0;0;NULL;NULL;NULL;231;;PO_ONLY;;12800000;0;BULANAN;CYCLE;01/03/2025;31/03/2025;EXPIRED;NULL;;;NULL;NULL;0;NULL;NULL;NULL;0;0;0
363;137;NULL;0;0;NULL;NULL;NULL;232;;PO_ONLY;;15000000;0;BULANAN;CYCLE;01/03/2025;31/03/2025;EXPIRED;NULL;;;NULL;NULL;0;NULL;NULL;NULL;0;0;0
364;137;NULL;0;0;NULL;NULL;NULL;232;;PO_ONLY;;15300000;0;BULANAN;CYCLE;01/03/2025;31/03/2025;EXPIRED;NULL;;;NULL;NULL;0;NULL;NULL;NULL;0;0;0
160;105;NULL;0;0;NULL;NULL;NULL;187;;PO_ONLY;4530171288;12000000;0;BULANAN;CYCLE;01/06/2024;01/05/2025;EXPIRED;NULL;;;NULL;NULL;0;NULL;NULL;NULL;0;0;0
445;38;NULL;0;0;NULL;NULL;NULL;67;;PO_ONLY;4501803896;8000000;0;BULANAN;CYCLE;01/06/2025;01/05/2025;EXPIRED;NULL;;;NULL;NULL;0;NULL;NULL;NULL;0;0;0
431;126;NULL;0;0;NULL;NULL;NULL;214;;PO_ONLY;;12000000;0;BULANAN;CYCLE;17/05/2025;16/05/2025;EXPIRED;NULL;;;NULL;NULL;0;NULL;NULL;NULL;0;0;0
95;72;NULL;0;0;NULL;NULL;NULL;130;Agreement Heinz;CONTRACT;;7800000;0;BULANAN;CYCLE;01/07/2023;30/06/2025;EXPIRED;NULL;;;NULL;NULL;0;NULL;NULL;NULL;0;0;0
384;201;NULL;0;0;NULL;NULL;NULL;320;4610000016/16675/MMD-SML/III/2024 ADD-3;CONTRACT;OKT-52008100;57000000;0;BULANAN;CYCLE;01/04/2025;31/07/2025;EXPIRED;NULL;;;NULL;NULL;0;NULL;NULL;NULL;0;0;0
176;37;NULL;0;0;NULL;NULL;NULL;66;204/PURC.CMBP/8/2024;CONTRACT;;12900000;0;BULANAN;CYCLE;26/08/2024;25/08/2025;EXPIRED;NULL;;;NULL;NULL;0;NULL;NULL;NULL;0;0;0
178;126;NULL;0;0;NULL;NULL;NULL;214;;PO_ONLY;;10800000;0;BULANAN;CYCLE;27/08/2024;26/08/2025;EXPIRED;NULL;;;NULL;NULL;0;NULL;NULL;NULL;0;0;0
179;126;NULL;0;0;NULL;NULL;NULL;214;;PO_ONLY;;10900000;0;BULANAN;CYCLE;27/08/2024;26/08/2025;EXPIRED;NULL;;;NULL;NULL;0;NULL;NULL;NULL;0;0;0
181;160;NULL;0;0;NULL;NULL;NULL;260;4610018422/15530/TBU-SML/III/2023 ADD-II;CONTRACT;;46000000;0;BULANAN;CYCLE;01/09/2024;31/08/2025;EXPIRED;NULL;;;NULL;NULL;0;NULL;NULL;NULL;0;0;0
505;105;NULL;0;0;NULL;NULL;NULL;186;C240016032;CONTRACT;;20000000;0;BULANAN;CYCLE;01/07/2025;01/09/2025;EXPIRED;NULL;;;NULL;NULL;0;NULL;NULL;NULL;0;0;0
522;28;NULL;0;0;NULL;NULL;NULL;53;;PO_ONLY;;13500000;0;BULANAN;CYCLE;13/07/2025;12/09/2025;EXPIRED;NULL;;;NULL;NULL;0;NULL;NULL;NULL;0;0;0
182;99;NULL;0;0;NULL;NULL;NULL;175;011/SML-R/IX/2024;CONTRACT;;11000000;0;BULANAN;CYCLE;15/09/2024;14/09/2025;EXPIRED;NULL;;;NULL;NULL;0;NULL;NULL;NULL;0;0;0
