ID_Unit;SN_Unit;Status_Tagihan_ACC;Status_Kontrak_MKT;Aktif_Service_SRV;Lokasi_Gudang_INV;Masalah;Rekomendasi_Validasi
5607;UNKNOWN;KOSONG;ADA_KONTRAK;SERVIS_JALAN;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
5654;UNKNOWN;KOSONG;ADA_KONTRAK;SERVIS_JALAN;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
5204;UNKNOWN;KOSONG;ADA_KONTRAK;SERVIS_JALAN;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
5276;UNKNOWN;KOSONG;ADA_KONTRAK;SERVIS_JALAN;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
5203;UNKNOWN;KOSONG;ADA_KONTRAK;SERVIS_JALAN;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
5284;UNKNOWN;KOSONG;ADA_KONTRAK;SERVIS_JALAN;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
5286;UNKNOWN;KOSONG;ADA_KONTRAK;SERVIS_JALAN;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
5293;UNKNOWN;KOSONG;ADA_KONTRAK;SERVIS_JALAN;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
5655;UNKNOWN;KOSONG;ADA_KONTRAK;SERVIS_JALAN;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
5656;UNKNOWN;KOSONG;ADA_KONTRAK;SERVIS_JALAN;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
5658;UNKNOWN;KOSONG;ADA_KONTRAK;SERVIS_JALAN;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
5309;UNKNOWN;KOSONG;ADA_KONTRAK;SERVIS_JALAN;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
