unit_id;no_unit;nama_customer;customer_id;lokasi_db;lokasi_mentah;merk;model;tipe;kapasitas;tahun;nomor_po;no_kontrak;awal_kontrak;akhir_kontrak;harga;sumber_data
2511;2611;"PT. Asahimas Flat Glass Tbk";9;"Depo Ancol";"Lok. Depo Ancol";CAT;DP25ND;DIESEL;;2019;;"148/SML/X/2019 Addendum I";2021-10-06;2026-10-05;7150000;"Marketing, Service, Acc"
2512;2612;"PT. Asahimas Flat Glass Tbk";9;"Depo Ancol";"Lok. Depo Ancol";CAT;DP25ND;DIESEL;;2019;;"148/SML/X/2019 Addendum I";2021-10-06;2026-10-05;7150000;"Marketing, Service, Acc"
2727;2827;"OKI Pulp and Paper";9;"Plant Cikampek";"Lok. Prod A";HYUNDAI;25BR-9;ELECTRIC;;2020;;"148/SML/X/2019 Addendum I";2021-10-06;2026-10-05;10400000;"Marketing, Service, Acc"
2450;2550;"PT. Asahimas Flat Glass Tbk";9;"Plant Karawang";"Lok. Prod A";CAT;DP25ND;DIESEL;;2019;;"148/SML/X/2019 Addendum I";2021-10-06;2026-10-05;7150000;"Marketing, Service, Acc"
2162;2262;"PT. Asahimas Flat Glass Tbk";9;"Plant Cikampek";"Lok. Prod B";Yale;FB25RZ;ELECTRIC;;2018;;"148/SML/X/2019 Addendum I";2021-10-06;2026-10-05;9900000;"Marketing, Service, Acc"
2449;2549;"PT. Asahimas Flat Glass Tbk";9;"Plant Karawang";"Lok. Prod B";CAT;DP25ND;DIESEL;;2019;;"148/SML/X/2019 Addendum I";2021-10-06;2026-10-05;7150000;"Marketing, Service, Acc"
2513;2613;"PT. Asahimas Flat Glass Tbk";9;"Plant Karawang";"Lok, Prod C";CAT;DP25ND;DIESEL;;2019;;"148/SML/X/2019 Addendum I";2021-10-06;2026-10-05;7150000;"Marketing, Service, Acc"
2514;2614;"PT. Asahimas Flat Glass Tbk";9;"Plant Karawang";"Lok. Logistic";CAT;DP25ND;DIESEL;;2019;;"148/SML/X/2019 Addendum I";2021-10-06;2026-10-05;7150000;"Marketing, Service, Acc"
2935;3035;"PT. Asahimas Flat Glass Tbk";9;"Plant Karawang";"Lok. Logistic";CAT;DP25ND;DIESEL;;2022;;"148/SML/X/2019 Addendum I";2021-10-06;2026-10-05;7150000;"Marketing, Service, Acc"
3629;3729;"PT. Asahimas Flat Glass Tbk";9;"Plant Karawang";"Lok. Logistic";HELI;CPCD25-M1K2;DIESEL;;2023;;"148/SML/X/2019 Addendum I";2021-10-06;2026-10-05;7150000;"Marketing, Service, Acc"
2447;2547;"PT. Asahimas Flat Glass Tbk";9;"Plant Karawang";"Lok. Planning";CAT;DP25ND;DIESEL;;2019;;"148/SML/X/2019 Addendum I";2021-10-06;2026-10-05;7150000;"Marketing, Service, Acc"
2551;2651;"PT. Asahimas Flat Glass Tbk";9;"Plant Karawang";"Lok. Planning";TOYOTA;72-8FDJ35;DIESEL;;2019;;"148/SML/X/2019 Addendum I";2021-10-06;2026-10-05;8750000;"Marketing, Service, Acc"
2666;2766;"PT. Asahimas Flat Glass Tbk";9;"Depo Ancol";"Lok. Depo Ancol";CAT;DP25ND;DIESEL;;2020;;"148/SML/X/2019 Addendum I";2021-10-06;2026-10-05;7150000;"Marketing, Service, Acc"
