ID_Unit;Serial_Number;Tahun_Unit;Nama_Customer;No_PO;No_Kontrak;Awal_Sewa;Akhir_Sewa;Harga_Bulan;Sumber_Data_Customer
440;841742;2008;"Lenter Hidup Bersama";;;;;15000000;MARKETING
538;182ZR1978;2011;"PT SUPERNOVA";;"002/K_DIR/R/I/2022 - Add V";07/01/2026;06/01/2027;9300000;MARKETING
607;FDC03-1120-01411;2011;"PT Frigoglass Indonesia";;"Agrement KCC-SML";01/11/2025;31/12/2026;39000000;SERVICE
707;131A-G6735;2012;"PT FRIGOGLASS INDONESIA";;819-D-SML-I-2025;01/01/2023;31/12/2023;9100000;MARKETING
710;131A-G6709;2012;"PT TRI CENTRUM FORTUNA";;PO/Bulan;;;15000000;MARKETING
721;227AC2033;2012;"PT YCH INDONESIA";23102018332;;12/12/2025;11/02/2026;10000000;MARKETING
722;227AC2034;2012;"PT. LX Phantos Jakarta";;;;;7500000;MARKETING
724;182ZR2439;2012;"PT LG Electronics Indonesia";;193/LGEIN/EESH/IX-21/2020;01/03/2021;01/02/2026;7400000;MARKETING
726;227AC2038;2012;"PT. LX Phantos Jakarta";;;;;9300000;MARKETING
727;227AC2039;2012;"PT. LX Phantos Jakarta";;;;;3250000;MARKETING
735;227AC2049;2012;"PT LG Electronics Indonesia";;"ADD II Forklift Agreement";01/12/2025;31/10/2027;8500000;MARKETING
808;182ZR2529;2012;"PT LG Electronics Indonesia";;193/LGEIN/EESH/IX-21/2020;01/03/2021;01/02/2026;7400000;MARKETING
832;B2H-04988;2012;"PT CIPTA NIAGA SEMESTA";4502203662;;23/01/2026;22/01/2027;8000000;MARKETING
902;182ZR2679;2012;"PT KANEPACKAGE INDONESIA";;817/SML/I/2025;02/01/2025;01/01/2026;10250000;MARKETING
903;182ZR2680;2012;"PT Zhi Xing Indonesia";;104/SML/XII/2025;23/12/2025;22/03/2026;15000000;MARKETING
906;182ZR2933;2012;"PT TRIMITRA INDOPLAST MANDIRI";;;28/01/2024;27/01/2026;8000000;MARKETING
915;241AC9897;2012;"PT LG Electronics Indonesia";;"ADD II Forklift Agreement";01/12/2025;31/10/2027;8500000;MARKETING
945;1A389055;2012;"PT JAKARTA SEREAL";;045-SML-D-VII-2025;01/07/2025;30/06/2026;23500000;MARKETING
951;182ZR2931;2012;"PT. LX Phantos Jakarta";;;;;3250000;MARKETING
952;182ZR2932;2012;"PT ICHIKOH INDONESIA";;594-SML-I-2023;01/01/2023;31/12/2025;11330000;MARKETING
1049;228AC0412;2013;"PT LX Pantos Indonesia";;;;;0;SERVICE
1081;227AC2474;2012;"PT LX Pantos Indonesia";;;;;0;SERVICE
1082;241C01091;2012;"PT LX Pantos Indonesia";;;;;0;SERVICE
1102;227AC2218;2012;"Indah Kiat Pulp And Paper";;"No. 4610022445/22628/IKS-SML/VII/2025";07/09/2024;07/12/2024;9250000;MARKETING
1103;227AC2675;2012;"PT UNILEVER INDONESIA Tbk";;PO16706582;01/05/2025;31/12/2025;8550000;MARKETING
1108;241AC9889;2011;"PT LG Electronics Indonesia";;"ADD II Forklift Agreement";01/12/2025;31/10/2027;9000000;MARKETING
1110;182ZR3161;2013;"CATUR SENTOSA ANUGRAH";;;;;0;MARKETING
1114;182ZR3213;2013;"PT LG Electronics Indonesia";;193/LGEIN/EESH/IX-21/2020;01/03/2021;01/02/2026;7400000;MARKETING
1115;182ZR3212;2013;"PT. Musashi Auto Part";;026/MAPIN/ADD.4/GA/2025;12/07/2025;11/07/2026;12500000;MARKETING
1117;241AC9888;2011;"PT LG Electronics Indonesia";;"ADD II Forklift Agreement";01/12/2025;31/10/2027;8500000;MARKETING
1118;241AC9829;2011;"PT LG Electronics Indonesia";;"ADD II Forklift Agreement";01/12/2025;31/10/2027;8500000;MARKETING
1147;227AC2949;2013;"PT LG Electronics Indonesia";;"ADD II Forklift Agreement";01/12/2025;31/10/2027;8500000;MARKETING
1148;227AC2951;2013;"PT LG Electronics Indonesia";;"ADD II Forklift Agreement";01/12/2025;31/10/2027;8500000;MARKETING
