id_model_unit;merk_unit;model_unit;bahan_bakar;ban_depan;ban_belakang
1;MITSUBISHI;FD20;DIESEL;7.00-12;6.00-9
2;MITSUBISHI;FD25PT;DIESEL;7.00-12;6.00-9
3;MITSUBISHI;FD30PT;DIESEL;28X9-15;6.50-10
4;MITSUBISHI;FD30;DIESEL;28X9-15;6.50-10
5;MITSUBISHI;FD35;DIESEL;250-15;7.00-12
6;MITSUBISHI;FD40N;DIESEL;300-15;7.00-12
7;MITSUBISHI;FD40NT;DIESEL;300-15;7.00-12
8;MITSUBISHI;FD50T;DIESEL;300-15;7.00-12
9;MITSUBISHI;FD50KT;DIESEL;300-15;7.00-12
10;MITSUBISHI;FD50NT;DIESEL;300-15;7.00-12
11;MITSUBISHI;FD70T;DIESEL;8.25-15;8.25-15
12;MITSUBISHI;FD70NH;DIESEL;8.25-15;8.25-15
13;MITSUBISHI;FD150SNL;DIESEL;1100-20;1100-20
14;MITSUBISHI;DP20ND;DIESEL;7.00-12;6.00-9
15;MITSUBISHI;DP25ND;DIESEL;7.00-12;6.00-9
16;MITSUBISHI;DP30ND;DIESEL;28X9-15;6.50-10
17;MITSUBISHI;FG25ND;GASOLINE;7.00-12;6.00-9
18;MITSUBISHI;FG25NT;GASOLINE;7.00-12;6.00-9
19;MITSUBISHI;FG30ND;GASOLINE;28X9-15;6.50-10
20;CAT;DP20ND;DIESEL;7.00-12;6.00-9
21;CAT;DP25ND;DIESEL;7.00-12;6.00-9
22;CAT;DP25NDC;DIESEL;7.00-12;6.00-9
23;CAT;DP25NT;DIESEL;7.00-12;6.00-9
24;CAT;DP30ND;DIESEL;28X9-15;6.50-10
25;CAT;DP30NT;DIESEL;28X9-15;6.50-10
26;CAT;DP35ND;DIESEL;28X9-15;6.50-10
27;CAT;DP40KD;DIESEL;300-15;7.00-12
28;CAT;DP40KT;DIESEL;300-15;7.00-12
29;CAT;DP40KLT;DIESEL;300-15;7.00-12
30;CAT;DP40N;DIESEL;300-15;7.00-12
31;CAT;DP40NT;DIESEL;300-15;7.00-12
32;CAT;DP45N;DIESEL;300-15;7.00-12
33;CAT;DP50N;DIESEL;300-15;7.00-12
34;CAT;DP50NT;DIESEL;300-15;7.00-12
35;CAT;DP70T;DIESEL;8.25-15;8.25-15
36;CAT;GP25ND;GASOLINE;7.00-12;6.00-9
37;CAT;GP25NT;GASOLINE;7.00-12;6.00-9
38;CAT;GP30ND;GASOLINE;28X9-15;6.50-10
39;CAT;GP35ND;GASOLINE;28X9-15;6.50-10
40;CAT;NRS18CA;ELEKTRIK;NULL;NULL
41;CAT;EP15TCA;ELEKTRIK;NULL;NULL
42;CAT;EP20CA;ELEKTRIK;NULL;NULL
43;CAT;E920TCA;ELEKTRIK;NULL;NULL
44;CAT;CPCD70F1;DIESEL;8.25-15;8.25-15
45;CAT;Hand Lift;MANUAL;NULL;NULL
46;TOYOTA;5FD35;DIESEL;250-15;7.00-12
47;TOYOTA;7FD25;DIESEL;7.00-12;6.00-9
48;TOYOTA;7FD35;DIESEL;250-15;7.00-12
49;TOYOTA;7FD50;DIESEL;300-15;7.00-12
50;TOYOTA;8FD20;DIESEL;7.00-12;6.00-9
51;TOYOTA;8FD25;DIESEL;7.00-12;6.00-9
52;TOYOTA;8FD30;DIESEL;28X9-15;6.50-10
53;TOYOTA;8FD40N;DIESEL;300-15;7.00-12
54;TOYOTA;8FD45N;DIESEL;300-15;7.00-12
55;TOYOTA;8FD50N;DIESEL;300-15;7.00-12
56;TOYOTA;8FDN35;DIESEL;28X9-15;6.50-10
57;TOYOTA;8FDN40;DIESEL;300-15;7.00-12
58;TOYOTA;60-8FD15;DIESEL;6.50-10;5.00-8
59;TOYOTA;60-8FD25;DIESEL;7.00-12;6.00-9
60;TOYOTA;60-8FD30;DIESEL;28X9-15;6.50-10
61;TOYOTA;62-8FD15;DIESEL;6.50-10;5.00-8
62;TOYOTA;62-8FD25;DIESEL;7.00-12;6.00-9
63;TOYOTA;62-8FD30;DIESEL;28X9-15;6.50-10
64;TOYOTA;FDZN25;DIESEL;7.00-12;6.00-9
65;TOYOTA;FDZN30;DIESEL;28X9-15;6.50-10
66;TOYOTA;8FG25;GASOLINE;7.00-12;6.00-9
67;TOYOTA;FGZN25;GASOLINE;7.00-12;6.00-9
68;TOYOTA;8FBN15;ELEKTRIK;18X7-8;15X4.5-8
69;TOYOTA;8FBN20;ELEKTRIK;21X8-9;18X7-8
70;TOYOTA;8FBN25;ELEKTRIK;21X8-9;18X7-8
71;TOYOTA;8FBN30;ELEKTRIK;28X9-15;18X7-8
72;TOYOTA;8FBE15;ELEKTRIK;18X7-8;15X4.5-8
73;TOYOTA;8FBE20;ELEKTRIK;21X8-9;18X7-8
74;TOYOTA;7FB20;ELEKTRIK;21X8-9;18X7-8
75;TOYOTA;7FB25;ELEKTRIK;21X8-9;18X7-8
76;TOYOTA;7FB30;ELEKTRIK;NULL;NULL
77;TOYOTA;5FB25;ELEKTRIK;21X8-9;18X7-8
78;TOYOTA;7FBR15;ELEKTRIK;NULL;NULL
79;TOYOTA;7FBR18;ELEKTRIK;NULL;NULL
80;TOYOTA;8FBR15;ELEKTRIK;NULL;NULL
81;TOYOTA;8FBR18;ELEKTRIK;NULL;NULL
82;TOYOTA;8FBRS25;ELEKTRIK;NULL;NULL
83;TOYOTA;RRE160MC;ELEKTRIK;NULL;NULL
84;TOYOTA;CBT-4;ELEKTRIK;NULL;NULL
85;TOYOTA;4CBTK4;ELEKTRIK;NULL;NULL
86;TOYOTA;LPE200;ELEKTRIK;NULL;NULL
87;TOYOTA;LPE250;ELEKTRIK;NULL;NULL
88;TOYOTA;SPE140S;ELEKTRIK;NULL;NULL
89;TOYOTA;SWE120;ELEKTRIK;NULL;NULL
90;HELI;CPCD25;DIESEL;7.00-12;6.00-9
91;HELI;CPCD30;DIESEL;28X9-15;6.50-10
92;HELI;CPCD35;DIESEL;28X9-15;6.50-10
