No. Barang;Deskripsi Barang
FA -0005;2T151P4N Side Shifter cap 2.5 ton, SSS ±100MM to each side Featuring Quickseal - greasable sliding pad, With driling to fit original caterpillar load brackest FCF width 1000mm, Cap 2500kg at 500mm LC, LLC 55mm, CG 20mm, Weight Approx 55kg
FA -0003;2T458 - Rotating Roll Clamp OR (A1-A2) suitable for rolls with a diameter of 250-1350mm. SAA in 45° position HCP(G) 1000mm WCP 250mm. Cap 2200kg at 675 mm LC. LLC (V) 232mm CG 317mm, WA 611kg
FA -0002;3T151P2 - KAUP Side Shifter . SSS :± 100mm to each side with drilings to fit original toyota FD30 load backrest. FCFW (B) 1070mm. With centre slot in lower carrage bar Cap. 3000kg at 500mm LC LLC (V) 80mm CG (Z) at 45mm Weight approx 100kg
FA -0004;3T458 Rotating Roll Clamp OR (A1-A2) suitable for rolls with a diameter of 250-1600mm SAA in 45°position LAC, HCP 1000mm, WCP 250mm, Cap 2800kg at 800mm LC. LLC 251mm, CG 360mm, Weight Approx 770kg.
FA -0033;4T458 Rotating Roll Clamp OR (A1-A2) suitable for rolls with a diameter of 250-1600mm SAA in 45°position LAC, HCP 1000mm, WCP 300mm, Cap 3500kg at 800mm LC. LLC 237mm, CG 353mm, Weight Approx 1095kg.
FA -0034;4T458 Rotating Roll Clamp OR (A1-A2) suitable for rolls with a diameter of 700-2100mm Act O/R±2300mm. SAA in 45°position LAC, HCP 1800mm, WCP 400mm,CPS PU Coating. Cap 3000kg at 1050mm LC. LLC 237mm, CG 493mm, Weight Approx 1267kg.
TL01-0640;AC CLEANER
EL01-0796;AC MOTOR CONTROLLER 378145371 SOOSUNG
TL01-0660;AC PENDINGIN RUANGAN
AX01-0547;ACCELERATOR ASSEMBLY 1220-520008-0C EP ES12-12CS
EL01-0344;ACCELERATOR ASSY WP15/25 SOOSUNG SWP-2500(PM)
AX01-0532;ACCELERATOR PALET MOVER 60704033 XILIN CBD 20R
AX01-0521;ACCELERATOR PEDAL MOTOR JUNGHENRICH ETV 116, SN:91069952
AX01-0276;ACCELERATOR PEDAL MOTOR SOOSUNG SST-4000 (AC)
EL01-0669;ACCELERATOR PEDAL P/N:A61K2-41701 SOOSUNG SST - 4000
AX01-0467;ACCELERATOR STILL LTX-20 (SN UNIT:C10611G00104 )
EL01-0463;ACCESE 4-VEHICLE CONTROL MODULE (VCM) 141779 CROWN RD57955
EL02-0002;ACCU 100Ah N100, 95E41R 12v / 100Ah N100L, 95E41L
EL02-0003;ACCU 120Ah 115F51 N120, YUASA
EL02-0004;ACCU 130Ah 130E41L 12v
EL02-0021;ACCU 150Ah 145G51 N150, GS YUASA
EL02-0005;ACCU 3.5Ah, GS PREMIUM SEPEDA MOTOR
EL02-0006;ACCU 32Ah NS40L
EL02-0252;ACCU 35 AH 34B19R GS PREMIUM
EL02-0007;ACCU 35Ah 32B30R
EL02-0019;ACCU 35Ah 34B91L, GS PREMIUM
EL02-0258;ACCU 35Ah 36B20L (NS40ZL)/MOBILIO
EL02-0259;ACCU 35Ah GS MF 34B19L
EL02-0008;ACCU 40Ah 36B20R (NS40Z)
EL02-0264;ACCU 45 Ah 55B24L(S)
EL02-0256;ACCU 45AH GSMFN-NS60
EL02-0009;ACCU 45Ah NS60L 46B24L (S), GS PREMIUM
EL02-0010;ACCU 45Ah NS60L 46B24L, FURUKAWA PREMIUM
EL02-0257;ACCU 50 AH 55D23L, GS HYBRIT
EL02-0260;ACCU 55D26R / N50Z
EL02-0011;ACCU 5Ah, SEPEDA MOTOR
EL02-0060;ACCU 60Ah 55D23L MF,GS
EL02-0012;ACCU 60Ah NS70L, GS PREMIUM
EL02-0255;ACCU 65 AH 55D26R (NS70R), GS PREMIUM
EL02-0262;ACCU 65 AH 65D26R (NS70), GS PREMIUM
EL02-0013;ACCU 65Ah 65D26L (S), GS PREMIUM
EL02-0014;ACCU 65Ah 65D26L, GS PREMIUM
EL02-0015;ACCU 70Ah N70
EL02-0261;ACCU 70AH NX110-5L FURUKAWA
EL02-0016;ACCU 75Ah 75D31L, SMF 12V NS ADVANCE
EL02-0023;ACCU 75AH N70Z R
EL02-0020;ACCU 75AH N70ZL MF75D31L, ATOBA KOREA (USAHA BERSAMA)
EL01-0671;ACCU 80AH 95D31 R, FURUKAWA PREMIUM MAINTENANCE FREE /ACCU KERING
EL02-0017;ACCU 80AH 95D31L, FB 95D31L NX120-7L
EL02-0018;ACCU 80Ah MF95D31L / NX-1207 / L, MAINTENANCE FREE ATLAS
EL01-0634;ACCU GS MF NS60LS CRV
EL02-0022;ACCU N120 BOSCH (G120N-MF) LOADER ENSIGN
EL02-0254;ACCU UPS 12V/ 7AH TYPE:CP1400, YUASA
AX01-0401;ACELELATOR 120-230000-501 HANGCA
BB01-0219;ACRYLIC 1000X2000X10MM
BB01-0000;ACRYLIC 1000X2000X2MM
BB01-0001;ACRYLIC 1000X2000X4MM
BB01-0002;ACRYLIC 1000X2000X5MM
BB01-0206;ACRYLIC 1000X2000X8MM
BB01-0319;ACRYLIC UK. 10X1200X2400 MM
BB01-0258;ACRYLIC UK. 5X1200X2400 MM
BB01-0313;ACRYLIC UK. 8X1200X2400 MM
PL01-0384;ACTUACTOR 90048-82002-001 GRAND MAX PICK-UP
PL01-0213;ACTUATOR 1910-52013 DIRECTIONAL SWITCH
PL01-0233;ACTUATOR 32910-01211 NICHIYU FB30
