NO. URUT;SERIAL NUMBER;MODEL;TYPE UNIT;DEPARTMENT;YEAR;SPECIFICATION;ENGINE MODEL;SN ENGINE;KAP;FUEL TYPE;MAST TYPE;MAST HEIGHT;SN MAST;TYPE TIRE;FRONT TYRE;REAR TIRE;VALVE
1;010303J7567;CPCD30-Q22K2;FORKLIFT CB;DIESEL;2024;ACCESSORIES ROTARY LAMP, SAFETY BELT, BACKBUZZER, SPION, ENGINE QUANCHAI, MAST STD 2 STAGE;QUANCHAI;Q240873244H;3TON;DIESEL;M300;3000MM;-;SOLID TIRE;28X9-15;6.50-10;2
2;010303J7616;CPCD30-M1K2;FORKLIFT CB;DIESEL;2024;ACCESSORIES ROTARY LAMP, SAFETY BELT, BACKBUZZER, SPION, ENGINE MITSUBISHI S4S, MAST STD 2 STAGE;MITSUBISHI;S4S-400945;3TON;DIESEL;M300;3000MM;-;SOLID TIRE;28X9-15;6.50-10;2
3;010303J7615;CPCD30-M1K2;FORKLIFT CB;DIESEL;2024;ACCESSORIES ROTARY LAMP, SAFETY BELT, BACKBUZZER, SPION, ENGINE MITSUBISHI S4S, MAST STD 2 STAGE;MITSUBISHI;S4S-400946;3TON;DIESEL;M300;3000MM;-;SOLID TIRE;28X9-15;6.50-10;2
4;020303J7702;CPC30-WS1K2;FORKLIFT CB;DIESEL;2024;ACCESSORIES ROTARY LAMP, SAFETY BELT, BACKBUZZER, SPION, ENGINE ISUZU, MAST STD 2 STAGE;ISUZU;322202;3TON;DIESEL;M300;3000MM;-;SOLID TIRE;28X9-15;6.50-10;2
5;07020DP3747;CQD20-A2RLIG2;REACH TRUCK;ELECTRIC;2024;ACCESSORIES ROTARY LAMP, BACKBUZZER, SPION, REACH TRUCK SIT-ON, HELI-Ion LITHIUM BATTERY;-;-;2TON;ELECTRIC;-;-;-;CASTER WHEEL;-;-;4
6;08030JFX737;CBD30J-RLI;PALLET MOVER;ELECTRIC;2024;LONG FORK P 2400MM/L 685MM (DOUBLE PALLET) LITHIUM BATTERY;-;-;3TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
7;08015XA6954;CBD15-ALIH;HAND PALLET ELECTRIC;ELECTRIC;2024;LOW FORK P 1150MM/L 680MM (SINGLE PALLET) LITHIUM BATTERY;-;-;1,5TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
8;08015XA6961;CBD15-ALIH;HAND PALLET ELECTRIC;ELECTRIC;2024;LOW FORK P 1150MM/L 680MM (SINGLE PALLET) LITHIUM BATTERY;-;-;1,5TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
9;08015XA6951;CBD15-ALIH;HAND PALLET ELECTRIC;ELECTRIC;2024;LOW FORK P 1150MM/L 680MM (SINGLE PALLET) LITHIUM BATTERY;-;-;1,5TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
10;08015XA6952;CBD15-ALIH;HAND PALLET ELECTRIC;ELECTRIC;2024;LOW FORK P 1150MM/L 680MM (SINGLE PALLET) LITHIUM BATTERY;-;-;1,5TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
11;08015XA6953;CBD15-ALIH;HAND PALLET ELECTRIC;ELECTRIC;2024;LOW FORK P 1150MM/L 680MM (SINGLE PALLET) LITHIUM BATTERY;-;-;1,5TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
