NO WO;Tanggal Pelaporan;Nomor Unit;Tipe Unit;Tipe Order;Request Waktu Perbaikan;Kategori;Sub Kategori;Keluhan Unit & sparepart;Status;Admin;Foreman;Mek - help;Perbaikan;Keterangan;TTR;Tanggal;
10001;07/05/2025 11:09;3575;DIESEL;COMPLAINT;07/05/2025 08:00;Kelistrikan;;Rotari mati;CLOSE;;YOGA;TEGUH, TIO;;Rotari mati;;Rotary 12v;
10002;07/05/2025 11:10;3467;DIESEL;COMPLAINT;08/05/2025 08:00;Engine / Mesin, Hidrolik;;V-belt retak, hose return bocor;CLOSE;;YOGA;TEGUH, TIO;;V-belt retak, hose return bocor;;"V-belt B048, hose return 1/2"", oli atf";
10003;07/05/2025 11:11;3599;DIESEL;COMPLAINT;08/05/2025 08:00;Kelistrikan;;Back buzzer mati, lampu mati;CLOSE;;YOGA;TEGUH, TIO;;Back buzzer mati, lampu mati;;Back buzzer 12v, H312v;
10004;07/05/2025 11:12;3103;DIESEL;COMPLAINT;08/05/2025 08:00;Safety;;Apar expired;CLOSE;;YOGA;TEGUH, TIO;;Apar expired;;Apar 1kg refiil;
10005;07/05/2025 11:13;2647;DIESEL;COMPLAINT;08/05/2025 08:00;Safety;;Apar expired;CLOSE;;YOGA;TEGUH, TIO;;Apar expired;;Apar 1kg refiil;
10006;07/05/2025 13:21;3005;DIESEL;COMPLAINT;07/05/2025 08:00;Braking / Pengereman;;Rem bermasalah;CLOSE;;UBAEDILLAH;APRIAL, RIZAL;;Rem bermasalah;;Seal rem atas, seal rem bawah, minyak rem;
10007;07/05/2025 13:25;1900;GAS;COMPLAINT;07/05/2025 14:00;Braking / Pengereman;;Rem bermasalah;CLOSE;;UBAEDILLAH;APRIAL, RIZAL;;Rem bermasalah;;Seal rem atas, seal rem bawah, minyak rem;
10009;07/05/2025 13:40;1843;DIESEL;PMPS;08/05/2025 08:00;Engine / Mesin;;Ganti oli mesin;CLOSE;;IQBAL;SAMSURI, RIKI;;Ganti oli mesin;;Oli mesin, filter oli, filter solar, fitler udara;
10010;07/05/2025 13:41;2395;DIESEL;PMPS;08/05/2025 08:00;Engine / Mesin;;Ganti oli mesin;CLOSE;;IQBAL;SAMSURI, RIKI;;Ganti oli mesin;;Oli mesin, filter oli, filter solar, fitler udara;
10011;07/05/2025 14:58;1900;GAS;COMPLAINT;07/05/2025 15:00;Braking / Pengereman;;Seal tromol rembes;CLOSE;;UBAEDILLAH;APRIAL, RIZAL;;Seal tromol rembes;;Seal oil drive axel;
10012;07/05/2025 15:01;2409;DIESEL;COMPLAINT;08/05/2025 08:00;Roda dan Ban;;Baut roda depan slek;CLOSE;;YOGA;ASEP, BAGUS;;Baut roda depan slek;;Baut roda depan + mur;
10013;07/05/2025 15:10;2090;DIESEL;COMPLAINT;08/05/2025 08:00;Engine / Mesin;;Waterpump oblak;CLOSE;;YOGA;ASEP, BAGUS;;Waterpump oblak;;Waterpump, air coolant;
10014;08/05/2025 08:11;1868;DIESEL;COMPLAINT;08/05/2025 08:00;Hidrolik;;Hose lift to lift bocor;CLOSE;;UBAEDILLAH;BUKHORI, NADIN;;Hose lift to lift bocor;;Hoe p. 37 L/L.19;
10015;08/05/2025 08:12;2369;DIESEL;COMPLAINT;08/05/2025 08:00;Kelistrikan;;Lampu mati;CLOSE;;UBAEDILLAH;BUKHORI, NADIN;;Lampu mati;;Lampu LED 2pc;
10016;08/05/2025 08:16;3316;DIESEL;COMPLAINT;08/05/2025 08:00;Roda dan Ban;;Ban belakang pecah;CLOSE;;IQBAL;ZAKI;;Ban belakang pecah;;Ban solid 700-12;
10017;08/05/2025 08:16;2109;DIESEL;COMPLAINT;08/05/2025 08:00;Transmisi;;Kampas kopling tipis;CLOSE;;IQBAL;ZAKI;;Kampas kopling tipis;;Kampas kopling G-20;
10018;08/05/2025 08:23;1807;DIESEL;COMPLAINT;08/05/2025 08:00;Hidrolik, Kelistrikan;;Seal p/s rembes, hose return bocor, lampu mati;CLOSE;;IQBAL;SAMSURI, RIKI;;Seal p/s rembes, hose return bocor, lampu mati;;"Seal dust p/s, seal packing p/s, seal piston p/s, oring p/s, oli hyd, hose return 1/2"", clamp hose, bohlam k2 besar 12v";
10019;08/05/2025 08:28;5260;DIESEL;COMPLAINT;08/05/2025 08:00;Attachments & Accessories;;Bearing rantai oblak;CLOSE;;YOGA;TEGUH, TIO;;Bearing rantai oblak;;Bearing rantai;
10020;08/05/2025 08:31;2684;DIESEL;COMPLAINT;08/05/2025 08:00;Kelistrikan;;Rotari mati, lampu-lampu mati;CLOSE;;IKIN;YAYAT, JAENI;;Rotari mati, lampu-lampu mati;;Rotari 12v, H312v, bohlam k1 besar 12v, bohlam k2 besar 12v;
10021;08/05/2025 08:43;B9076FCA;DIESEL;COMPLAINT;08/05/2025 08:00;Kelistrikan;;Accu lemah;CLOSE;;UBAEDILLAH;WANDI;;Accu lemah;;Accu 45ah;
10022;08/05/2025 08:44;5608;DIESEL;PERSIAPAN;08/05/2025 08:00;Safety;;Pemasangan safety tambahan;CLOSE;;UBAEDILLAH;WANDI;;Pemasangan safety tambahan;;Blue spot 12v, akrilik, spion, terpal tutup atas kanopi;
10023;08/05/2025 08:45;5062;DIESEL;PERSIAPAN;08/05/2025 08:00;Safety;;Pemasangan safety tambahan;CLOSE;;UBAEDILLAH;WANDI;;Pemasangan safety tambahan;;Blue spot 12v, akrilik, spion, terpal tutup atas kanopi;
10024;08/05/2025 08:46;5606;DIESEL;PERSIAPAN;08/05/2025 08:00;Safety;;Pemasangan safety tambahan;CLOSE;;UBAEDILLAH;WANDI;;Pemasangan safety tambahan;;Blue spot 12v, akrilik, spion, terpal tutup atas kanopi;
10025;08/05/2025 08:46;5604;DIESEL;PERSIAPAN;08/05/2025 08:00;Safety;;Pemasangan safety tambahan;CLOSE;;UBAEDILLAH;WANDI;;Pemasangan safety tambahan;;Blue spot 12v, akrilik, spion, terpal tutup atas kanopi;
10026;08/05/2025 08:51;2127;DIESEL;COMPLAINT;08/05/2025 08:00;Hidrolik;;Seal 3lift bocor;CLOSE;;YOGA;ASEP, BAGUS;;Seal 3lift bocor;;Seal dust 3lift, seal packing 3lift;
