Marketing;No Unit;cust_id;nama customer;Area;Lokasi;No PO;Awal Kontrak;Kontrak Habis;Harga
TATA;3622;1;PT ABC Kogen Dairy;BANDUNG;Bandung;365/SML/VIII/2024;;09/10/2025;
TATA;2294;1;PT ABC Kogen Dairy;BANDUNG;Bandung;365/SML/VIII/2024;;;
TATA;5150;2;PT Adira Makmur Abadi;JATENG;#N/A;0278/AMA/05/25;09/05/2025;08/05/2028;Rp8.500.000,00
TATA;3776;2;PT Adira Makmur Abadi;JATENG;#N/A;0424/AMA/08/24;01/09/2024;31/08/2027;Rp8.500.000,00
TATA;3644;2;PT Adira Makmur Abadi;JATENG;#N/A;;04/11/2024;03/11/2027;Rp8.500.000,00
;6054;2;PT Adira Makmur Abadi;JATENG;#N/A;;;;
TATA;6085;2;PT Adira Makmur Abadi;JATENG;#N/A;0095/AMA/02/26;05/02/2026;04/02/2029;Rp7.500.000,00
TATA;3767;4;PT Amerta Indah Otsuka;BANDUNG;Bandung;4531003652;01/01/2025;31/12/2025;Rp6.500.000,00
TATA;3794;4;PT Amerta Indah Otsuka;BEKASI;Bekasi;4531003649;01/01/2025;31/12/2025;Rp6.500.000,00
;1390;4;PT Amerta Indah Otsuka;SUKABUMI;Cicurug;;;;
TATA;1953;4;PT Amerta Indah Otsuka;SUKABUMI;Cicurug;;;;
TATA;3988;4;PT Amerta Indah Otsuka;SUKABUMI;Cicurug;4212029724;01/01/2025;31/12/2025;Rp11.850.000,00
TATA;3995;4;PT Amerta Indah Otsuka;SUKABUMI;Cicurug;4212029724;01/01/2025;31/12/2025;Rp11.850.000,00
TATA;3803;4;PT Amerta Indah Otsuka;SUKABUMI;Cicurug/ CAN, PET, OC3,;4212029724;01/01/2025;31/12/2025;Rp11.000.000,00
TATA;3986;4;PT Amerta Indah Otsuka;SUKABUMI;Cicurug/ Delivery;4212029724;01/01/2025;31/12/2025;Rp11.850.000,00
TATA;3992;4;PT Amerta Indah Otsuka;SUKABUMI;Cicurug/ Lifter CAN;4212029724;01/01/2025;31/12/2025;Rp11.000.000,00
TATA;3919;4;PT Amerta Indah Otsuka;SUKABUMI;Cicurug/ Loading AL4;4212029724;01/01/2025;31/12/2025;Rp11.000.000,00
TATA;3915;4;PT Amerta Indah Otsuka;SUKABUMI;Cicurug/ Loading CAN/ PET;4212029724;01/01/2025;31/12/2025;Rp11.000.000,00
TATA;3916;4;PT Amerta Indah Otsuka;SUKABUMI;Cicurug/ Loading OC3;4212029724;01/01/2025;31/12/2025;Rp11.000.000,00
TATA;3804;4;PT Amerta Indah Otsuka;SUKABUMI;Cicurug/ Nami Paletiser;4212029724;01/01/2025;31/12/2025;Rp11.000.000,00
TATA;3990;4;PT Amerta Indah Otsuka;SUKABUMI;Cicurug/ Preparasi Luaar;4212029724;01/01/2025;31/12/2025;Rp11.850.000,00
TATA;3591;4;PT Amerta Indah Otsuka;SUKABUMI;Cicurug/ RMPM;4212029724;01/01/2025;31/12/2025;Rp11.850.000,00
TATA;3801;4;PT Amerta Indah Otsuka;SUKABUMI;Cicurug/ RMPM;4212029724;01/01/2025;31/12/2025;Rp11.000.000,00
TATA;3912;4;PT Amerta Indah Otsuka;SUKABUMI;Cicurug/ RMPM;4212029724;01/01/2025;31/12/2025;Rp11.000.000,00
TATA;3913;4;PT Amerta Indah Otsuka;SUKABUMI;Cicurug/ RMPM;4212029724;01/01/2025;31/12/2025;Rp11.000.000,00
TATA;3991;4;PT Amerta Indah Otsuka;SUKABUMI;Cicurug/ Shrink/ PET;4212029724;01/01/2025;31/12/2025;Rp10.800.000,00
