id	name	trigger_event	target_divisions	target_roles	target_departments	url_template	title_template
60	Attachment - Added	attachment_added	warehouse	supervisor	NULL	/warehouse/inventory/invent_attachment	{{tipe_item}} Baru: {{serial_number}}
61	Attachment - Attached to Unit	attachment_attached	service	staff	NULL	/warehouse/inventory/invent_attachment	{{tipe_item}} Dipasang: {{no_unit}}
65	Attachment - Broken	attachment_broken	warehouse	manager	NULL	/warehouse/inventory/invent_attachment	{{tipe_item}} RUSAK: {{serial_number}}
62	Attachment - Detached from Unit	attachment_detached	service	staff	NULL	/warehouse/inventory/invent_attachment	{{tipe_item}} Dilepas: {{no_unit}}
64	Attachment - Maintenance	attachment_maintenance	service	supervisor	NULL	/warehouse/inventory/invent_attachment	{{tipe_item}} Maintenance: {{serial_number}}
63	Attachment - Swapped	attachment_swapped	service	supervisor	NULL	/warehouse/inventory/invent_attachment	{{tipe_item}} Swap: {{old_unit}} ? {{new_unit}}
138	Budget Threshold Exceeded Notification	budget_threshold_exceeded	Finance,Management	Director,Manager,Accounting	NULL	NULL	Alert Budget: {{budget_name}}
125	Contract Created Notification	contract_created	Marketing,Finance,Legal,Management	Director,Manager	NULL	NULL	Kontrak Baru: {{contract_number}}
31	Customer Contract - Created	customer_contract_created	marketing,accounting	manager	NULL	/marketing/customer-management	Kontrak Baru: {{contract_number}}
32	Customer Contract - Expired Warning	customer_contract_expired	marketing	manager	NULL	/marketing/customer-management	Peringatan Kontrak Expired: {{contract_number}}
126	Customer Created Notification	customer_created	Marketing,Management	Director,Manager,Supervisor,Sales	NULL	NULL	Customer Baru: {{customer_name}}
29	Customer - Deleted	customer_deleted	marketing	manager	NULL	/marketing/customer-management	Customer Dihapus: {{customer_name}}
30	Customer Location - Added	customer_location_added	marketing	staff,supervisor	NULL	/marketing/customer-management	Lokasi Baru: {{customer_name}}
128	Customer Status Changed Notification	customer_status_changed	Marketing,Management	Director,Manager,Sales	NULL	NULL	Status Customer Berubah: {{customer_name}}
28	Customer - Updated	customer_updated	marketing	staff,supervisor	NULL	/marketing/customer-management	Customer Diupdate: {{customer_name}}
127	Customer Updated Notification	customer_updated	Marketing,Management	Manager,Supervisor,Sales	NULL	NULL	Customer Diperbarui: {{customer_name}}
83	Delivery - Arrived	delivery_arrived	marketing	supervisor,manager	NULL	/operational/delivery	Delivery Sampai: {{nomor_delivery}}
81	Delivery - Assigned	delivery_assigned	operational	staff	NULL	/operational/delivery	Delivery Assigned: {{nomor_delivery}}
84	Delivery - Completed	delivery_completed	marketing	manager	NULL	/operational/delivery	Delivery Selesai: {{nomor_delivery}}
80	Delivery - Created	delivery_created	operational	staff,supervisor	NULL	/operational/delivery	Delivery Baru: {{nomor_delivery}}
107	Delivery Created Notification	delivery_created	Warehouse,Purchasing,QualityControl	Manager,Supervisor,Staff	NULL	NULL	Surat Jalan Baru Dibuat
85	Delivery - Delayed	delivery_delayed	operational	manager	NULL	/operational/delivery	Delivery TERLAMBAT: {{nomor_delivery}}
82	Delivery - In Transit	delivery_in_transit	marketing,operational	staff,supervisor	NULL	/operational/delivery	Delivery Dalam Perjalanan: {{nomor_delivery}}
108	Delivery Status Changed Notification	delivery_status_changed	Warehouse,Purchasing,Finance	Manager,Supervisor	NULL	NULL	Status Surat Jalan Berubah
34	DI - Approved	di_approved	warehouse	supervisor,staff	NULL	/operational/delivery	DI Disetujui: {{nomor_di}}
